category,s1,s2,label,node_id,neighbour
Literature & Fiction," Gr ade 1 - 5 — Based on an ancient legend , this story tells of a young man , Sky Running , who is sent to find buff alo to save the C ree people from star vation . In a dream , he discovers vast her ds in enemy territory , known as the Bad lands , and his tribe sets off to find them . The tale is told in a calm , spare style , with beautiful illustrations capturing the fall pra irie landscape . It provides an ev ocative introduction to life on the pl ains and the C ree people ' s ways , suitable for read - al ouds . Copyright © Reed Business Information , a division of Reed Else vier Inc . All rights reserved .", H idden Buffalo ( N orthern Lights Books for Children ),0,41818,"[44562, 59610, 73227]"
Animals," C urious Crit ters Missouri is a children ' s picture book written and photographed by award - winning author and photographer David Fitz S imm ons . The book aims to help young readers connect with nature through fascinating creatures and their habitats . Part of the Cur ious Crit ters series , this volume features stunning close - up photography of animals and plants native to Missouri .", C urious Crit ters Missouri ( C urious Crit ters Board Books ),1,74463,[74462]
Literature & Fiction,,,0,17033,"[1946, 2565, 2948, 5303, 5338, 5508, 5977, 11661, 16970, 16985, 17002, 17004, 17020, 17025, 17049, 17087, 17096, 17102, 17131, 17144, 17160, 17176, 17195, 17316, 18432, 19127, 19356, 22370, 24174, 24243, 24258, 24263, 24320, 24515, 26380, 26419, 27196, 27234, 30692, 45726]"
Growing Up & Facts of Life,,,2,47435,"[27978, 28270, 47645, 51522]"
Growing Up & Facts of Life, J ason Chin ' s Red wood s combines engaging facts about California and Oregon ' s tow ering trees with captiv ating illustrations that pl unge readers into the red wood forest . The book relies on straightforward writing for the facts and soft - ed ged art for a f anc iful perspective ., Red wood s : A charming and informative journey through the giants of the forest ,2,45694,"[3736, 3995, 4121, 4784, 4826, 6098, 7373, 7654, 10870, 10902, 11222, 12851, 19035, 19404, 22876, 23334, 23783, 25657, 27886, 31869, 32437, 33656, 33731, 33892, 35414, 36570, 36620, 37967, 42602, 45286, 45727, 45729, 45806, 48242, 49080, 51368, 51876, 52410, 52608, 52649, 53256, 54481, 61092, 61164, 61974, 62252, 62280, 62293, 62454, 62709, 62869, 65089, 65102, 65131, 65171, 65174, 65178, 67340, 68107, 68188, 68192, 68210, 68894, 70581, 71086, 71778, 73154, 74080, 74561, 74965]"
Growing Up & Facts of Life," Exp anding nas cent vocal skills is the goal of this quick board book that details a hunt for a missing red sock . The story is told through a mother ' s nar ration of her laundry duties before a trip to the park . The mom and child are Asian - American , and their delight in each other is evident . This book is best suited for babies who are barely co o ing , and teaches parents the importance of constantly talking to their children . A similar title , A Fish to Feed , targets those who can say a few words but not much else .", Med ias Ro jas / Red Soc ks ( Sp anish / English ) ( Sp anish Edition ) ( Sp anish and English Edition ),2,64856,"[5373, 9850, 10924, 52894, 52899, 61648, 64882, 64883, 74124]"
Animals," A gn ese Bar u zzi and Sand ro Natal ini , author - ill ustr ators who met in Ur b ino , Italy , have collaborated on numerous children ' s books . Their latest work is ' The True Story of Little Red R iding Hood : A Novel ty Book ' .", The True Story of Little Red R iding Hood : A Novel ty Book ,1,32832,[32456]
"Activities, Crafts & Games"," This simple story follows a boy ' s imagination as he plays with his toy yellow truck , embark ing on a cross - country adventure . The tale takes him through cities , bridges , val leys , mountains , tunnels , and truck stops before ending at the sea . Gar of oli ' s vivid illustrations capture the essence of each geographic location .", My Big Rig ,6,31779,"[6228, 31919, 31927, 49195, 58874]"
Growing Up & Facts of Life," Lear n about earthqu akes , which can be mysterious and powerful natural forces . Some are too small to feel , while others can shake even the largest buildings . Discover the reasons behind earthqu akes , their likelihood of occurrence , and what to do if one occurs nearby .", E arth qu akes ( Let ' s - Read - and - Find - Out Science 2 ),2,4021,"[617, 1686, 1997, 2263, 3736, 3777, 3791, 3809, 3990, 3995, 3996, 3998, 3999, 4002, 4005, 4007, 4011, 4013, 4016, 4017, 4018, 4020, 4025, 4030, 4686, 4719, 4750, 4753, 4766, 4772, 4784, 4800, 4802, 4809, 4817, 4818, 4821, 4833, 4907, 4923, 6240, 7347, 13079, 24454, 25041, 26490, 26540, 26997, 27236, 35988, 39141, 39143, 39399, 40851, 46701, 48149, 49595, 53655, 65169]"
Education & Reference,,,12,71162,"[9850, 36711, 36713, 54168, 56654, 71135, 71145, 71151]"
Growing Up & Facts of Life," Power ful images of dancing k ites , asc ending do ves , women in bur q as , a child playing with toys made from trash , and flowers spr outing from tanks ju xt ap ose the real and the aspir ational in Ana A . de E ulate ' s El c iel o de Af gan ist án . The prose is po ign antly l yr ical , and Son ja Winter ' s illustrations are eye - c atching and master fully rendered . E ulate has a warm and welcoming writing style , while Winter ' s lines are sophisticated and styl ized .", El c iel o de Af gan ist án ( Sp anish Edition ),2,76219,"[16347, 51247, 73447, 76208, 76213, 76227, 76240, 76252, 76256, 76349]"
Sports & Outdoors," L au ren Johnson , a freelance writer and editor based in North Carolina , enjoys reading , painting , and practicing martial arts . She auth ored the Sports Illustr ated Kids Graphic Novel ' Be ast ly Basketball ' .", Be ast ly Basketball ( Sports Illustr ated Kids Graphic Novel s ),21,50964,"[4071, 4259, 4260, 6047, 6412, 6620, 6915, 10288, 11395, 11583, 13471, 13478, 13795, 14026, 19175, 21391, 21778, 22276, 22534, 22883, 22927, 23803, 23998, 24021, 27066, 27752, 28517, 50221, 50689, 50691, 50713, 50716, 50731, 50741, 50743, 50748, 50750, 50755, 50760, 50761, 50789, 50793, 50796, 50797, 50803, 50806, 50809, 50815, 50819, 50827, 50865, 50869, 50878, 50879, 50902, 50947, 50974, 50986, 51308, 52239, 56777, 56782, 56820, 56821, 57363, 57688, 58086, 58616, 58692, 58704, 68171, 68219, 70069]"
Literature & Fiction," The Lions of Little Rock is a historical fiction novel written by Krist in Lev ine . It tells the story of two girls , Mar lee and Liz , who form a friendship during the integration of Little Rock ' s schools in 1 9 5 8 . The novel has been awarded the New - Y ork Historical Society ' s first children ' s history book prize and has received numerous starred reviews .", The Lions of Little Rock ,0,6631,"[2764, 6051, 6173, 6434, 6485, 6577, 6584, 6661, 6680, 6729, 6829, 6835, 6905, 8569, 9285, 11452, 13510, 13690, 17050, 17432, 22304, 22839, 25579, 28182, 29298, 48591, 52766, 55053, 56401, 62733, 74563]"
Religions,,,20,50544,"[8874, 9316, 9481, 30032, 44849, 50543, 50545, 50546, 50548, 50561, 70849, 70999, 75155, 75157, 75417]"
Animals," J os ie H lad ick , a former Special Needs Pres chool teacher , lives on a 3 - acre magical farm in Southern Illinois . Home to various animals and forest friends , the farm is now the setting for her stories .", Christ mas At the Farm in the Forest ,1,55641,[69724]
Growing Up & Facts of Life," J ake Drake , a fourth - grad er , looks back at his third - grade science fair project . Although he learned about elect rom agn ets , he realized the importance of humility . When his school held its first science fair with a computer as the grand prize , Jake refused to collaborate with his best friend . He soon realized his single - minded ness was undes irable . Although they took second prize , Jake valued the experience ."," J ake Drake , Know - It - All # 2 ",2,27783,"[675, 1763, 2706, 3394, 3512, 4638, 5229, 5327, 5334, 5340, 5921, 6058, 6114, 6121, 6156, 7607, 8691, 10089, 10583, 12752, 13370, 13414, 13729, 14197, 14252, 15179, 16713, 16991, 18083, 18145, 18503, 18564, 19198, 19345, 22727, 22883, 23002, 26209, 26227, 26383, 27903, 28285, 32786, 39399, 39493, 42672, 45642, 45775, 47754, 47847, 48382, 50734, 51251, 51622, 55463]"
Animals," W ed gie , a sp unk y cor gi , and G iz mo , a genius gu inea pig , are back for more entertaining explo its with their blended family . The kids want to put Wed gie in the school pet parade , but Mom and Dad are hes itant . G iz mo , a computer - s av vy c avy , may also be in the parade and seems to be plot ting world dom ination through online shopping . This fast - paced chapter book with amusing illustrations is perfect for elementary kids who enjoy z any animal stories .", W ed gie & G iz mo vs . the To of ,1,4208,"[3651, 3813, 3969, 4121, 4172, 4204, 4226, 4268, 8485, 10342, 10356, 10852, 10853, 10898, 11061, 11143, 11197, 11397, 11410, 11560, 16906, 20789, 22755, 22802, 22831, 22839, 22848, 22883, 29304, 33852, 35559, 37270, 43864, 45678, 45771, 45979, 45991, 54675, 65174, 67638, 68679, 70376]"
Literature & Fiction,,,0,63938,"[61831, 63931, 63933, 63941]"
Growing Up & Facts of Life," Miss Dorothy and Her Book mobile follows the story of a libr arian ' s dedication to bringing reading material to the Blue Ridge Mountains of North Carolina . The narrative showcases Dorothy ' s journey from ha uling books in her basement to driving a green book mobile around town . Her efforts eventually inspire the town spe ople to build their own library . The charming story is set against the backdrop of beautiful landscapes , ev oking nost algia and paying tribute to a remarkable woman . This heart w arming tale will reson ate with most adult readers who remember a Miss Dorothy from their childhood , whether it be a teacher , neighbor , or libr arian . The book is an excellent addition to any collection , suitable for grades K - 3 .", Miss Dorothy and Her Book mobile ,2,1174,"[742, 5366, 5479, 5494, 6327, 7506, 9659, 12604, 13793, 15364, 15414, 21109, 23038, 23138, 23961, 27246, 37627, 38306, 38330, 45992, 47403, 48345, 48408, 48591, 56159, 57337, 60387, 60523, 62690, 63799, 63957]"
Science Fiction & Fantasy," A well - craft ed fantasy filled with tre acher y , mystery , humor , and magic . school library journal . Diana Wyn ne Jones was raised in Th a xt ed , Essex , England and has been a compuls ive story t eller since childhood . She lives in Bristol with her husband , a professor of English , and has three sons and two grand d aughters . Her writing career began with children ' s books in a village with limited resources . Jones ' work includes the Dal em ark Quart et , and her life experiences have provided ample material for her fant ast ical tales ."," The Crown of Dal em ark ( D al em ark Quart et , Book 4 )",7,4900,"[4897, 4902]"
Science Fiction & Fantasy," A new series of beginning readers aimed at the younger siblings of ' Go ose bum ps ' fans . The plots are predictable , with titles like ' C re ep Show ,' ' Ha unted Bike ,' ' The Bad - L uck Penny ,' and ' W ax Museum .' The texts use repetitive vocabulary and rely heavily on cho ppy phrases . Large , colorful illustrations give readers clues but do not enhance the stories . The bold covers might attract children , but the stories are thin .", C re ep Show ( E ek ! Stories to Make You Sh ri ek ),7,18343,"[18322, 18356, 18403]"
Education & Reference,,,12,14047,"[2052, 4260, 4377, 4383, 4656, 8645, 10377, 12364, 13925, 15819, 16678, 16768, 16905, 16915, 18474, 18983, 19140, 19225, 19350, 19538, 20789, 21498, 25671, 29087, 29308, 29451, 32395, 33063, 33266, 33363, 36122, 36990, 37106, 37178, 38558, 43867, 45794, 48518, 48586, 49796, 51705, 52325, 52592, 52752, 55052, 55152, 55244, 56159, 56419, 58162, 62283, 62630, 64263, 64329, 64978, 65191, 65551, 66826, 68113, 69868, 71078, 71296, 71761, 71784, 73070, 75206]"
Growing Up & Facts of Life," H urst recount s the story of her father , an avid rock collector , in this picture book . Stevens on ' s illustrations showcase the protagonist ' s personality and the period he lived in . The narrative is polished and engaging , capturing the man ' s passion and humility .", R ocks in His Head ( A ven ues ),2,1173,"[546, 5366, 6814, 7640, 9563, 12417, 13925, 15364, 15393, 16202, 18983, 24132, 24247, 26919, 31374, 35464, 38695, 39192, 41021, 46641, 46756, 49538, 49647, 49881, 50308, 50492, 52339, 53445, 53621, 58111, 63722, 64217]"
Literature & Fiction," Bill Myers ( www . Bill my ers . com ) is a bestselling author and award - winning writer / direct or whose work has won sixty national and international awards . His books and videos have sold eight million copies , including The Seeing , Eli , The Voice , My Life as , For b idden Doors , and McG ee and Me .", My Life As a T arant ula To e T ick ler ( The Incred ible Worlds of W ally Mc Do ogle # 2 2 ),0,40604,"[40588, 40589, 40590, 40592, 40593, 40594, 40595, 40596, 40597, 40598, 40599, 40600, 40609, 40610, 40611, 40617, 46030, 46033, 46048]"
"Activities, Crafts & Games"," Ex pl ore the fascinating world of color and optical ill usions in this engaging interactive book . Pack ed with fl aps , tabs , spinning dis ks , a dec oder for solving puzzles , and 3 - D images , it ' s sure to challenge young minds and offer hours of entertainment . Published by D K , a leading global illustrated reference publisher ."," Color Ill usions : Visual T ricks , Fantastic Facts , and Imp ossible Pu zz les ",6,53134,"[22654, 22883, 31073, 31213, 32336, 34021, 42087, 49659, 49691, 49790, 49800, 49836, 49843, 51132, 53056, 53210, 53259, 53335, 53438, 59403, 62214, 69136, 69349, 70467, 70790, 74395]"
Mysteries & Detectives," R oy Mac G reg or is a renowned hockey author and columnist . His works include Home Team , Home Game , The 7 A . M . Practice , and the Sc ree ch Ow ls series . Mac G reg or was induct ed into the Hockey Hall of Fame in 2 0 1 3 and received the El mer Ferguson Award for excellence in hockey journalism . He has a deep hockey background , having played against legends like Bobby Or r and coaching the sport . The Hig hest Number in the World was inspired by his daughter ' s passion for hockey . Gene vi è ve D esp res is an illustr ator with a degree in Industrial Design . She has worked in educational publishing , advertising , editorial , and children ' s literature . Her illustrations can be found in numerous children ' s books . She was an athletic child and still enjoys sports like Ultimate Fr is bee and tri ath l ons . Although she didn ' t get to play hockey , she supports her three sons and husband who do .", The Mystery of the Russian R ansom ( Sc ree ch Ow ls ),9,70371,"[34553, 34557, 34558, 34559, 34560, 34561, 34562, 65484, 70366, 70367, 70380, 70401, 70416]"
Growing Up & Facts of Life," Christ opher Paul Curtis is a renowned children ' s author known for his books The W ats ons Go to Birmingham -- 1 9 6 3 and Bud , Not Buddy . He resides in Ontario , Canada . Mr . Ch ic kee ' s Funny Money is a story about 1 1 - year - old Steven assisting his blind neighbor , Mr . Ch ic kee , in solving a mystery involving a peculiar bill .", Mr . Ch ic kee ' s Funny Money : A Eng aging Children ' s Story by Christopher Paul Curtis ,2,8363,"[5214, 6388, 8354, 16214, 21527, 21778, 24320, 31427, 45731, 48508, 55053, 69521]"
"Science, Nature & How It Works"," M att Do ed en , born in southern Minnesota , studied journalism at M ank ato State University . He worked at the college newspaper for three years , covering college sports and the Minnesota Vikings . After graduation , he worked as a sports writer and later as an editor for a children ' s publisher . In 2 0 0 3 , he started his own business as a freelance writer and editor , producing hundreds of books on various topics including cars , sports , air planes , geography , science , and math ."," M att Do ed en : Journal ist , Editor , and Fre el ance Writer ",15,53628,[53674]
Animals," The Epic Space Adventure series offers easy - to - under stand , fun space science insights . Created by Andrew Rad er , a PhD aer ospace engineer and winner of Discovery Channel ' s Canada ' s Greatest - K now - it - All , this series captiv ates audiences .", MC Long neck ' s Epic Space Adventure ,1,75063,[48682]
Growing Up & Facts of Life," In the latest installation of the long - running El mer series , the patch work elephant encounters a group of birds hiding in a cave from a threatening new bird . El mer attempts to deal with the bul ly through traditional methods like being nice and ignoring the ta unts . Eventually , he organiz es a stamp ede of his jungle friends , preced ing hundreds of threatened birds who form a giant bird - like formation . This heart w arming tale explores friendship and cooperation , suitable for Pres chool - Gr ade 2 readers .", El mer and the Big Bird ,2,53523,"[31494, 31495, 31594, 31626, 31642, 31670, 53585, 53607, 53627, 53639, 53739, 53792, 57627]"
Growing Up & Facts of Life," Del acre employs a unique AZ format to describe a cloud forest , a moist ecosystem found in tropical And es regions . The book features l yr ical text and vibrant mixed - media illustrations , showcasing various plants and animals native to the area . Each page highlights fol i age or creatures corresponding to a different letter of the alphabet . An animal and fol i age gloss ary provides additional information about the cloud forest . This educational and engaging title is ideal for students studying forest environments and animal species . "," O ling uito , de la A a la Z ! / O ling uito , from A to Z ! : Desc ub riend o el bos que n ubl ado / Un ve iling the Cloud Forest ( English and Spanish Edition )",2,41995,"[2997, 3864, 4048, 10269, 10924, 12820, 15049, 16264, 16344, 16407, 21372, 21498, 21659, 22319, 22672, 23334, 27006, 28306, 33363, 33490, 33776, 33981, 42011, 42013, 42014, 43719, 44114, 44115, 44119, 44479, 44771, 45374, 52599, 52649, 54564, 55053, 55106, 55244, 55869, 55884, 56918, 59824, 60187, 62455, 62674, 64285, 65044, 65781, 65785, 74563, 74738, 75462, 75465, 75466]"
Education & Reference,,,12,70534,"[6014, 11403, 14683, 15600, 16740, 17700, 19331, 20727, 25529, 26777, 28025, 31862, 32304, 33719, 34164, 43904, 46563, 46624, 51247, 52404, 52649, 57272, 58229, 58269, 59483, 59641, 59667, 59677, 59707, 59713, 59722, 59734, 63197, 68353, 70533, 70539, 70557, 70560, 70577, 71768, 72780, 74405, 76209]"
Early Learning," G enny H aines is an illustr ator with over 1 2 years of experience in children ' s books , greeting cards , and games . Originally from South Africa , she studied graphic design and worked in advertising before settling into children ' s publishing . H aines currently resides in Surrey , England , with her family .", F ive Little D ucks : A Move - Al ong Count ing Book ,16,56966,"[4089, 36756, 54674]"
Growing Up & Facts of Life," Gr 1 - 3 - Boris , an energetic character seeking adventure , joins his parents on a unique journey . This easy - reader book features full - color cartoons , large print text , and engaging characters . A bonus page teaches how to make a comp ass , offering an interactive experience . Ed , a seemingly ordinary boy , finds a mysterious coin leading to chaotic events and strange happen ings . This silly book with black - and - white illustrations references Albert Cam us ' The Str anger , making it a curious choice for the target audience .", Str anger Things : A Br anches Book ( L oon iverse # 1 ),2,22456,"[18993, 18995, 19081, 22340, 22350, 22353, 22363, 22380, 22407, 22422, 22425, 22449, 22454, 22506, 22513, 22515, 22527, 22602, 22609, 22747, 22832, 22885, 45911, 45937, 45950, 52016, 54936, 59109]"
Growing Up & Facts of Life," M ary Down ing H ahn , a former children ' s libr arian , is an award - winning author known for her popular ghost stories . H ahn , an avid reader , travel er , and arts lover , resides in Columbia , Maryland . Visit her online at www . mary down ing h ahn books . com .", The Dead Man in Indian Creek ,2,23034,"[1763, 6123, 6501, 10100, 13340, 13821, 14193, 14202, 14206, 14233, 16676, 20344, 21341, 21441, 21749, 21751, 22881, 23035, 23125, 24873, 25014, 25295, 33852, 45405, 50947, 52653, 76770]"
Geography & Cultures," J enn ifer Arena , aka Tenn ant Red bank , is a Random House children ' s editor and the author of numerous beginning reader titles . Her latest book is the children ' s novel ' Secret Sea Monster ' .", Secret Sea Monster ,11,45442,"[8704, 12850, 14486, 14561, 14618, 14622, 16666, 16687, 16743, 23736, 23757, 23904, 23968, 29620, 29716, 45273, 45407, 45423, 45974, 47486, 48106, 71755]"
Animals," There ' s no denying that kids love Cliff ord . The Big Red Dog has been a favorite since Norman Brid well created him over 4 0 years ago . Brid well , a commercial artist in New York City , developed the idea for Cliff ord after a painting of a little girl with a big red dog . The dog ' s size was increased from as big as a horse to as big as a house , and the story was written in just three days . Cliff ord The Big Red Dog was eventually published by Sch ol astic . Brid well , who grew up in K ok omo , Indiana , now lives on Martha ' s Vine yard , Massachusetts , with his wife , Norm a .", Cl iff ord ' s Sports Day ,1,24492,"[7380, 14544, 15357, 16945, 24158, 26771]"
Literature & Fiction," Readers will gain insights into the Battle of Getty sburg , its impact on the war , and the ongoing disputes over states ' rights and slavery . This book serves as a compelling introduction to a crucial turning point in history .", B oys of W art ime : Will at the Battle of Getty sburg ,0,6525,"[6491, 8483, 9417, 13821, 15151, 16608, 19160, 19266, 22370, 22883, 24320, 26503, 36504, 44911, 44912, 45976, 48684, 49691, 55290, 74934]"
"Science, Nature & How It Works"," Sc ott uses the 2 0 0 6 down grad ing of Pl uto from planet to dwar f planet as a teach able moment , discussing questions like planet definitions and scientific conclusion changes . The book starts with Hers chel ' s 1 7 8 1 discovery of Ur anus , followed by P ia zzi ' s finding of Ce res in 1 8 0 1 , and G alle ' s discovery of Ne pt une in 1 8 4 6 . Once objects similar to Ce res were found , they were all re class ified as aster oids . Before Pl uto ' s discovery , there were nine planets , but one was later dem oted . The book features colorful illustrations and includes a gloss ary and recommended resources .", When Is a Planet Not a Planet ?: The Story of Pl uto ,15,25349,"[5950, 17455, 32363, 32574, 49538, 49603, 72497]"
"Science, Nature & How It Works"," El aine Land au is an author known for her non fiction children ' s books . One of her titles is The Sense of Touch , a book that aims to educate readers about the human body and its various senses .", The Sense of Touch ( A True Book ),15,21247,"[38614, 38615, 46644]"
"Arts, Music & Photography"," Me et Lee , a musician who loses his hearing and is asked to leave his band . Discover how he finds a new world of music in the mind and heart at a local school for the deaf . This rhyth mic story is a celebration of music and resilience , perfect for kindergarten to grade 3 students .", The De af Music ians ,13,16443,"[4530, 6680, 12085, 12224, 13894, 14427, 16132, 19464, 19538, 21955, 22882, 23334, 25782, 26219, 27009, 28628, 32056, 33863, 34042, 34146, 36639, 36885, 37417, 37471, 37967, 39067, 41778, 42381, 42665, 43455, 43891, 44259, 48601, 48887, 51730, 56510, 58229, 58514, 60346, 60539, 62077, 62655, 64123, 65776, 67236, 71553, 72624, 72629, 72632, 72811, 74405, 75090, 75206]"
Animals," A board book based on a popular app , Pe ek ab oo Barn features simple digital illustrations and allows young children to open and close barn doors to greet familiar farm animals . The content is simple and predictable , making it an appealing read for todd lers .", Pe ek ab oo Barn ,1,33610,"[8701, 27779, 33589, 69470]"
Holidays & Celebrations," K aren Williamson , a former London primary school teacher and publisher ' s editor , is now a successful full - time writer . Special izing in Bible stories for young readers , she pens books like First Christmas Pop - up .", First Christmas Pop - up ,14,72083,[69437]
Religions," B orn in the United States , T ami Leh man - W il zig now lives in Israel . She has a Bachelor ' s Degree in English Literature and an M . A . in Communications from Boston University . She is one of Israel ' s leading English language copy writers . Known for her children ' s books like T asty Bible Stories , Keeping the Promise , Pass over Around the World , Han uk k ah Around the World , and Z v u vi ' s Israel , she resides in K far Sab a , Israel .", T ami Leh man - W il zig : Acc laim ed Children ' s Author and Copy writer ,20,62094,"[14971, 53525, 53782, 62464]"
Geography & Cultures," Book list recommends ' T ract or ' for the circ ulating collection . D K , a global publisher known for its visual non fiction , was founded in 1 9 7 4 and is now a division of Penguin Random House . They publish content for adults and children in 6 2 languages . Their aim is to inform , enrich , and entertain readers with a unique blend of words and pictures . Their range includes travel , history , science , nature , sports , gardening , cooking , and more . They also have an extensive children ' s list and a reputation for innovation in design .", T ract or ( Sh aped Board Books ),11,31020,"[5838, 9793, 9798, 9958, 11908, 11917, 11921, 11930, 11959, 11982, 12002, 12062, 15136, 22573, 30943, 31006, 33894, 35189, 35328, 50454, 53174, 59528, 60797, 64047, 69940, 74624, 74626, 74628]"
Animals," After a night of falling snow , two children look out on a day perfect for s led ding . They bundle up , climb an enormous hill with their father , and pile onto a s led . Gra vity takes its course , and they take off , flying through the air until landing safely in the snow . The express ive artwork and simple text make this book an engaging read for Pres chool - K indergarten students .", S now ! Snow ! Snow !,1,48201,"[1467, 1945, 3773, 4788, 5385, 7392, 9597, 9607, 12898, 15062, 22133, 24132, 25179, 27490, 31961, 54156, 64957]"
Literature & Fiction," A captiv ating , romantic history of the people who shaped L ila F ow ler , aged 1 6 . During the French Revolution , L ili de Beaut em ps is saved from the gu ill otine by an unknown hero . Later , she works as a maid at the Mar quis de B oc age ' s ch ate au , where Cel este Ch ard in unexpectedly wins the love of Marc , the Mar quis ' s son . Rose de B oc age , wild and reck less , grew up with Pierre O ise le ur in the turb ulent 1 8 9 0 s . When Pierre declares his eternal love for her , she reject s his proposal . Isabel le East man , believing her true love Jacques O ise le ur died in World War I , is shocked when he mirac ulously surv ives . This passage details the emotional journeys of these characters .", F owl ers of Sweet Valley ( S weet Valley High ),0,24038,"[23432, 23448, 23478, 23480, 23498]"
