category,s1,s2,label,node_id,neighbour
Literature & Fiction," A ly ss a Sat in Cap uc ill i is a renowned author in the easy - to - read genre . Her B isc uit books have achieved tremendous success , selling hundreds of thousands of copies in various formats . Additionally , she wrote Bear Hug s and P anda Kiss es , part of the Step 1 Step into Reading series .", Mon key Play ( Step into Reading ),0,14076,"[1462, 2282, 2605, 2640, 3642, 4072, 4361, 8340, 8345, 8346, 8361, 8547, 12564, 12717, 12738, 12757, 12846, 12863, 12896, 13094, 13122, 13192, 13375, 13433, 13537, 13571, 13597, 13850, 13881, 13970, 13986, 14077, 14110, 14462, 14484, 14656, 14691, 14701, 15191, 15229, 16694, 16703, 16755, 16819, 17669, 19005, 20606, 23685, 23777, 23790, 24013, 26158, 26249, 26295, 26316, 26417, 26425, 26426, 26494, 26524, 26566, 29502, 29535, 29555, 29593, 29596, 45344, 45346, 47400]"
Literature & Fiction," Bro ther and Sister Bear strive for courage when they encounter Too - T all Gri zz ly and his gang . In this book , they learn the true meaning of courage . The Be ren st ain Bears series began in 1 9 6 2 , with Stan and Jan Be ren st ain crafting the initial stories . After their passing , Mike Be ren st ain continues to create Bear adventures from his Pennsylvania studio .", The Be ren st ain Bears and the Gift of Cour age ,0,8953,"[1542, 1543, 1546, 1547, 1550, 1553, 1555, 1558, 1565, 1567, 1586, 1608, 3085, 3092, 3101, 3103, 3109, 3112, 3838, 3845, 3859, 3877, 3878, 3879, 4325, 4328, 8933, 8955, 8961, 8965, 9006, 9010, 9076, 9083, 9097, 9201, 9210, 9215, 9226, 9245, 9266, 9335, 9341, 9342, 9349, 9381, 9426, 9428, 9439, 9441, 9445, 9448, 9454, 9467, 9473, 9512, 12681, 12708, 13312, 15065, 15119, 15124, 15171, 15172, 15176, 15177, 15182, 15188, 15197, 15200, 15205, 15209, 15213, 15217, 15218, 15226, 15230, 15244, 15275, 16781, 26171, 26208, 26281, 26290, 26317, 26370, 26381, 26450, 26481, 26502, 26510, 26519, 26521, 26536]"
"Science, Nature & How It Works"," D K , founded in London in 1 9 7 4 , is a leading illustrated reference publisher . They produce highly visual , photographic non fiction content for adults and children , available in 6 2 languages . Their aim is to inform , enrich , and entertain readers of all ages . D K publis hes a wide range of adult titles spanning travel , history , science , nature , sport , gardening , cook ery , and parenting . Their children ' s list includes information on animals , the human body , homework help , and craft activities . D K is known for its innovative design approach and acts as the parent company for Alpha Books , Pr ima Games , and Rough Gu ides .", D K ( Pub lis her ),15,53215,"[9793, 9958, 9984, 10017, 13339, 15136, 19383, 21417, 22654, 29235, 30943, 38587, 52571, 53193, 53343, 53414, 54961]"
Growing Up & Facts of Life," I ' m Mixed is a heart w arming children ' s book that explores self - ident ity and acceptance . Written by Mag gy Williams , the story follows a young girl with a black father and a white mother , encouraging readers to embrace their unique backgrounds and celebrate their diversity . The book has gar nered positive reviews from experts and authors in the field of children ' s literature , highlighting its importance in today ' s diverse world . Williams , who started writing at the age of five , aims to inspire courage , self - respect , and strength in her young readers .", I ' m Mixed !,2,67237,"[4363, 6743, 10339, 11546, 11671, 13153, 16347, 21109, 24112, 24787, 26219, 28611, 29295, 32724, 37140, 37443, 39391, 41551, 43301, 43988, 45112, 45114, 45652, 45844, 52721, 55583, 57590, 57746, 61676, 62297, 65860]"
"Science, Nature & How It Works"," En h ance your preschool er ' s understanding of physical , life , and earth science with this colorful activity book . It features songs , rh ym es , and hands - on projects to make science enjoyable and engaging . The book align s with current science standards and focuses on one science concept per lesson . It provides numerous activities to help young students grasp basic science principles ."," S kill Sharp eners Science , Grade Pre - K ",15,68553,"[8210, 21489, 53135, 53140, 53141, 53249, 55661, 55662, 55666, 55682, 55684, 55695, 55715, 55719]"
Animals," Y ellow f ang , a loyal medicine cat in Shadow Cl an , faces a devastating secret that threatens her future and the lives of her Cl an mates . Author Erin Hunter , known for her Warriors , Se ek ers , Surviv ors , and Bra vel ands series , draws inspiration from her love of animals and respect for nature .", War riors Super Edition : Yellow f ang ' s Secret ,1,3120,"[2344, 2491, 2505, 2506, 2521, 2564, 2598, 2600, 2601, 2904, 2966, 2986, 3203, 3376, 3613, 3614, 3827, 3831, 4028, 4031, 4039, 4090, 4239, 4243, 4282, 4321, 4334]"
Growing Up & Facts of Life," First Book and Purpose ful Goods share the desire to provide children with books that are meaningful , engaging , and relevant to their lives . The Your Buddy B ood les series of books directly achieve this goal , addressing challenging topics in a comfort ing way , helping kids navigate the unfamiliar , and opening the door for further discussion . Authors like Christine Bur ger address topics like family diversity , adoption , and transition ing from baby to big s ibling .", Your Buddy B ood les : Emp ower ing Children Through Meaning ful Books ,2,44670,"[1421, 2801, 8270, 15114, 22649, 37684, 43365, 44671, 49304]"
Sports & Outdoors," D ave Ma as , a fishing enthusi ast and experienced educator , spent five sum mers as head instructor and guide at Camp Fish in northern Minnesota . He taught classroom seminars and on - the - water demonstrations on topics like finding spring time cra pp ies and releasing big mus k ies properly . Ma as also served as an editor for the popular ' F resh water Ang ler ' book series .", R anger Rick Kids ' Guide to Fishing : The young ang ler ' s guide to catching more and bigger fish ( R anger Rick Kids ' Gu ides ),21,69173,"[3091, 8271, 15367, 19393, 20180, 21601, 21649, 22229, 28080, 30845, 31149, 31209, 42090, 44959, 50056, 50336, 50341, 57853, 57992, 60542, 63201, 67692, 75334]"
History," An ika F aj ardo , a former teacher and libr arian , is an award - winning author whose work has been published for both children and adults . Her latest book , H erc ules and His 1 2 Lab ors : An Interactive Myth ological Adventure ( You Choose : Ancient Greek My ths ), offers an engaging and interactive journey into the world of Greek mythology .", H erc ules and His 1 2 Lab ors : An Interactive Myth ological Adventure ( You Choose : Ancient Greek My ths ),18,56161,"[19019, 20355, 26396, 31347, 44196, 50164, 50180, 50198, 50209, 50246, 50250, 50261, 50353, 50387, 54020, 54052, 56144, 56152, 56177, 56193, 56194, 57830, 68125, 68172]"
History," Gr ade 5 - 9 . Fle ming ' s biography of Ben Franklin , titled ' Ben Franklin ' s Al man ac : Being a True Account of the Good Gentle man ' s Life ,' presents a unique and comprehensive account of the states man ' s life . The book features a scrap book - style layout with eight chapters centered around high - quality visuals and engaging text . It includes anecd otes , observations , and quotes from Franklin , offering a humorous and insightful portray al of his complexity . The work is suitable for both serious readers and browsers , with year - by - year chron ologies , bibli ographies , picture sources , websites , and an index . The book is a remarkable tribute to Franklin and his achievements .", Ben Franklin ' s Al man ac : Being a True Account of the Good Gentle man ' s Life ,18,27750,"[6191, 13167, 13329, 13336, 20039, 45296, 45731]"
Growing Up & Facts of Life," She ila Walsh is a renowned recording artist , speaker , and author . She co - host ed The 7 0 0 Club and is known for her books like Honestly and Living Fear lessly . She lives near Nashville , Tennessee with her husband and son ."," E in stein ' s En orm ous Error : A Story About For giving Others ( G n oo Zoo , Book Three )",2,61966,"[61964, 61967]"
Science Fiction & Fantasy," In 2 0 1 7 , Marvel released Spider - Man : Home coming , a movie that depicted a young Peter Parker navig ating his superhero identity while facing a new nem esis , the V ulture .", Sp ider - Man : Home coming - A coming - of - Age Super hero Tale ,7,11538,"[2797, 3618, 3903, 8528, 8616, 11072, 11506, 11515, 11521, 11523, 29545, 49130]"
Growing Up & Facts of Life," S i enna Mer cer is a Canadian author known for her young adult fiction . She wrote the My Sister the V ampire series , including titles like F ang t astic !, Re - V amped !, and Sw itched ! Mer cer resides in Toronto .", Date with Dest iny ( My Sister the V ampire ),2,46984,"[1979, 1981, 46987, 46990, 46991, 46996, 47020]"
Growing Up & Facts of Life," In the early 1 9 4 0 s , a loving father , Reve rend W . Aw d ry , crafted a small blue wooden engine for his son Christopher . The stories he made up for the toy were first published in 1 9 4 5 . Aw d ry continued creating new adventures and characters until 1 9 7 2 , retiring from writing . He passed away in 1 9 9 7 at the age of 8 5 .", Th omas & Friends : A Cher ished Childhood Tale ,2,23660,"[8238, 8627, 8688, 8720, 12782, 13006, 13007, 13091, 13147, 13311, 13339, 13362, 13751, 13987, 14470, 14485, 14500, 14516, 14587, 16677, 16778, 16796, 19511, 19512, 19524, 23682, 26167, 26368, 26558, 35591, 45316, 45353, 45441, 58107, 58113]"
Growing Up & Facts of Life," John Fe in stein ' s The DH ( Book 3 in the Triple Threat series ) promises more suspense ful sports action scenes and engaging storytelling . His previous works , including The Walk On and The Sixth Man , have gar nered praise for their mix of sports , drama , and intrig ue . The DH is set to continue the winning formula ."," The DH ( The Triple Threat , 3 )",2,23924,"[2173, 2184, 2974, 3351, 3363, 3629, 3635, 3664, 3726, 6000, 6119, 6402, 6412, 6430, 6604, 6647, 6712, 6822, 10421, 11299, 13461, 13649, 15045, 15769, 15839, 21638, 21778, 22834, 54549, 54613, 54944, 55013, 55120, 55373, 55494, 56419, 58513]"
Geography & Cultures," J erry Pall otta is an award - winning children ' s book author known for titles like The I ck y Bug Al phabet Book and Who Will Plant a Tree ? He resides in Boston , Massachusetts .", F is for Fen way : America ' s Old est Major League Ball park ( S leep ing Bear Al ph ab ets ),11,63348,"[6680, 13602, 13872, 14695, 15085, 18919, 43369, 43680, 43684, 51147, 55452, 61174, 61257, 63285, 66039, 66051, 66068, 66105, 67876, 69002, 72604, 73663, 73736, 75225]"
Growing Up & Facts of Life," This R iple ys - esque book pairs odd ities of the animal kingdom with gross scientific fact oids . It offers a casual language and bright photographs to engage kids , especially reluctant readers . The book covers basic biological concepts like ecological adaptation and environmental stew ardship , presented in a way that ' s both informative and entertaining . It includes a detailed gloss ary with understandable definitions of fun j arg on .", An imal Gross ap edia ,2,22344,[62293]
Literature & Fiction," All ison L ass ie ur is an author who has written over 1 0 0 books covering various topics such as history , biography , science , and current events . She has also penn ed fiction novels , short stories , puzzles , and activities . L ass ie ur resides in Trent on , Tennessee with her husband , daughter , and a house ful of pets . In her free time , she enjoys knitting , spinning , and reading .", Col onial America : An Interactive History Adventure ( You Choose : Historical Er as ),0,50246,"[1587, 4437, 6850, 11214, 12641, 17316, 19125, 24588, 26812, 27415, 33590, 39325, 43397, 46934, 48351, 50164, 50241, 50250, 50251, 50261, 50301, 50314, 50334, 50346, 50352, 50353, 50355, 50362, 50365, 50380, 50387, 52702, 53053, 53216, 54013, 54020, 54027, 54036, 54049, 54052, 54934, 56078, 56118, 56122, 56123, 56125, 56128, 56135, 56144, 56163, 56177, 56181, 56200, 57796, 57809, 57830, 67675, 67677, 67682, 67685, 73794, 73806, 73808, 73817, 73822, 74577, 74969, 75206]"
Science Fiction & Fantasy, 2 0 1 7 MAR VEL . Spider - Man : Home coming features a young Peter Parker navig ating his new found superhero abilities while facing off against a criminal master mind ., Sp ider - Man : Home coming : A Fresh Take on the Web - S ling ing Hero ,7,11521,"[8528, 11485, 11506, 11515, 11523, 11538, 49130]"
Growing Up & Facts of Life," Har riet Z ief ert , a renowned children ' s book author , and Emily Bol am , a skilled illustr ator , collaborated on this delightful tale . Z ief ert , who has written over 1 0 0 children ' s books , lives in Lincoln , Massachusetts and Maple wood , New Jersey . Bol am , known for her creative illustrations , began her career after graduating from art school and now resides in Brighton , England .", B uzzy ' s B oo - B oo ,2,64511,"[64500, 64510]"
Growing Up & Facts of Life," Math Thinking Mats , Grade 1 promotes higher - level thinking and independent learning skills while supporting cooperative learning . These mat s are designed to engage early fin is hers and last long with durable card stock . They feature a write - on / w ipe - away surface , color - coding for easy organization and cleanup , and easy - to - follow directions ."," Math Thinking Mats , Grade 1 ( Read y to Go )",2,55712,"[42076, 55723]"
Growing Up & Facts of Life," The second installment of the Chron icles of Egg series offers more danger , di abol ical plots , and d ast ard ly vill ains . With a classic adventure arc , the story features surprising character behavior and engaging nar ration . The novel port rays Native tribes and their culture , leading to interesting comparisons with Robinson Crus oe and Treasure Island . Written by Emmy - nom inated writer Geoff Rod key , known for films like Daddy Day Care and Good Luck Charlie , the series is filled with suspense and humor .", New Lands ( The Chron icles of Egg ),2,6824,"[6412, 6883, 11155, 11230, 45993, 48684, 55570]"
"Cars, Trains & Things That Go"," The Birthday Express ! ( Th omas & Friends ) began as a wooden toy engine crafted by Reve rend W . Aw d ry for his son Christopher in the early 1 9 4 0 s . The stories accompanying the toy were first published in 1 9 4 5 , and Aw d ry continued creating new adventures and characters until 1 9 7 2 . He passed away in 1 9 9 7 at the age of 8 5 .", The Birthday Express ! ( Th omas & Friends ),4,14494,"[8238, 8469, 8627, 8719, 8720, 12782, 12792, 13122, 13339, 13479, 13918, 13987, 16778, 16796, 19528, 23660, 23682, 23933, 26167, 26558, 45276, 45316, 45380, 45441, 48928]"
Animals, Do your ears hang low ? , Do Your E ars Hang Low ?,1,52734,"[1122, 1367, 2937, 2948, 3383, 3388, 3652, 3663, 3828, 3830, 4598, 10223, 11904, 13848, 22416, 23969, 26954, 27248, 28496, 33431, 40653, 45827, 45886, 47950, 52513, 52663, 52738, 52753, 53357, 54465, 55848, 55992, 56941, 62874, 67255, 67818, 67821, 68429, 69159, 74388, 74392]"
Growing Up & Facts of Life," T en - year - old British twins Ruby and G arn et take turns narr ating this broad comedy , a winner of the Smart ies Prize . Ages 9 - 1 2 .", Double Act ,2,18056,"[9656, 14755, 18137, 18224]"
Growing Up & Facts of Life," S u zy K line , author of the Hor rible Harry series and Song Lee books , resides in Will ington , Connecticut with her husband , R uf us . The couple has been married for thirty - eight years and met in their home state of California . K line graduated from the University of California at Berkeley with a degree in European history . After teaching for 2 7 years , she retired and now enjoys writing full - time . She and R uf us share their home with two cats and have two daughters and four grandchildren . K line ' s latest book , Hor rible Harry Takes the Cake , is dedicated to her 9 6 - year - old mother .", H or rible Harry and the St olen Cook ie ,2,6573,"[3186, 5270, 5283, 5316, 5327, 5329, 5334, 5340, 5634, 5638, 5646, 5651, 5654, 5675, 5682, 5683, 5692, 5921, 5976, 6057, 6104, 6153, 6349, 6488, 6564, 6618, 6693, 6727, 6745, 6792, 6886, 6940, 6942, 13719, 14704, 19249, 27756]"
Science Fiction & Fantasy," Before writing fiction , the author explored creativity through photography and digital art . A photograph of their younger daughter , Lauren , inspired the Bon fire Chron icles series . The title ' F a ust ine ' emerged after playing with the photo on Photoshop , introducing a girl with red eyes . The author didn ' t know the series ' plot initially , but the question ' Who is Fa ust ine ?' guided their writing . The agent suggested focusing on Fa ust ine ' s days at Bon fire Academy , leading to the birth of Cord elia and two pre quel books . U prising continues from Fa ust ine and the pre qu els , satisfying fans ' desire for more Cord elia while integrating characters from the Portal Chron icles .", U prising ( B on fire Chron icles Book Two ),7,74927,[44072]
Education & Reference," R og er Pr idd y , an illustr ator and publisher , created Pr idd y Books in 2 0 0 0 to produce innovative children ' s titles . His books have sold over 3 0 million copies worldwide , with five titles each selling over one million copies . Pr idd y has received numerous awards for his work .", B right Baby B ilingual Touch & Feel : Numbers : English - Sp anish B ilingual ( B right Baby Touch and Feel ) ( Sp anish Edition ),12,9758,"[879, 3954, 5483, 9672, 9718, 9724, 9727, 9731, 9732, 9850, 9872, 10031, 10587, 10755, 10924, 12690, 12820, 12867, 15166, 16264, 16538, 21002, 21365, 23078, 23167, 23355, 23944, 27006, 28208, 28299, 28352, 28353, 29142, 29494, 30828, 30883, 33314, 34538, 34545, 35322, 37284, 41044, 43719, 44115, 44123, 45686, 45931, 56681, 58027, 68980, 70677, 71163, 73447, 76349]"
Growing Up & Facts of Life," Based on a true story , M og ie : The Heart of the House tells the tale of a lab rad ood le who becomes an inspiration to children at a Ronald McDonald House . Auth ored by a New bery Honor Book author and illustrated by a cartoon - style artist , the story follows M og ie as he enters the special house and bonds with G age , a sick boy who loses his mo jo . As G age rec overs and moves out , M og ie continues to help other children in the house . The heart w arming story appeals to animal lovers and those who enjoy happy end ings . The illustrations , rendered in pencil , char coal , and digit ally , complement the story .", M og ie : The Heart of the House ,2,51822,"[546, 3512, 4204, 5384, 11254, 12206, 15815, 19175, 21463, 22707, 22885, 31569, 33960, 36497, 37213, 39415, 39548, 54948, 55357, 57347, 60523, 65089]"
Religions," Writ ten by Christ in D itch field , a former teacher and popular speaker , and illustrated by Jerry Smith , this Little Golden Book features Bible stories about boys and girls . D itch field , who auth ored several other popular books including David and G oli ath , resides in Houston , Texas . Smith , an accomplished illustr ator , has worked on several other Little Golden Books including Mir acles of Jesus and The Story of Jesus .", B ible Stories of Boys and Girls ( Little Golden Book ),20,13625,"[8186, 8187, 8196, 8197, 8198, 8199, 8200, 8202, 8205, 8211, 8219, 8221, 8222, 8240, 8297, 8497, 8590, 8634, 8668, 8728, 8735, 8740, 8743, 8784, 9419, 9837, 12996, 13011, 13014, 13149, 13251, 13283, 13460, 13480, 13552, 13554, 13589, 13641, 13762, 13766, 13832, 14558, 16754, 16816, 16851, 23656, 23920, 29536, 29556, 29558, 29563, 30028, 30951, 40227, 45271, 45324, 45395, 57326, 57330, 58087, 58282, 60084]"
Education & Reference,,,12,25441,[58512]
Growing Up & Facts of Life," J ane O ' Connor is an editor at a major publishing house who has written more than seventy books for children , including the New York Times bestselling F ancy Nancy series . She resides with her family in New York City .", F ancy Nancy ' s Perfect ly P osh Paper Doll Book ,2,2791,"[2314, 2318, 2333, 2618, 2621, 2650, 2676, 2730, 2774, 2778, 2785, 2796, 2813, 2815, 2821, 2845, 2899, 3124, 3126, 3134, 3139, 3144, 3188, 3285, 3371, 3533, 3539, 3973, 3977, 4001, 4106, 14175, 19850, 19851, 19876, 19960, 20046, 20076, 20081, 20167, 20190, 25848, 28866, 29203, 29244, 52176, 53408, 58088, 61132, 64658, 64669, 69118, 74192, 75138, 75140, 75141]"
"Science, Nature & How It Works"," The Ultimate Ocean Book is a pop - up novel ty book for Pre School - Gr ade 3 students . It features stunning ocean - d w elling animals in vibrant color , with single paragraph capt ions explaining their behaviors . The two - page entries are introduced with colorful fl air , and the writing is compact and direct . The book also includes textures to feel , a scratch - and - sn iff pad , and pull - open panels to expand each page . It offers a three - dimensional look into a tide pool and a coral reef , with lift - up fl aps revealing pop - ups , explan atory text , and even more tabs to set sea creatures in motion .", The Ultimate Ocean Book ( Pop - up Novel ty ),15,8309,"[9680, 10298, 17488, 28053, 28455, 29210, 29265, 30607, 30615, 32336, 33386, 48190, 58597, 67857, 76419]"
Literature & Fiction," The third installment in the Green E mber Series , E mber Rising , is deemed the best yet by critics . It ' s a heroic , soul ful , and inspirational tale that appeals to both children and adults . The action is intens ified , and the soul - s weet beauty of the previous books is ampl ified .", E mber Rising ( The Green E mber Series : Book 3 ),0,45204,"[148, 3758, 4147, 4602, 6494, 6593, 7701, 8552, 11413, 13505, 13785, 13835, 15038, 16676, 21739, 39867, 39915, 39923, 42156, 42159, 44290, 45355, 51435, 52319, 57295, 57396, 59109, 71466, 71469, 75709]"
Animals," Soft past el illustrations lend a friendly , calm feeling to the adventures . These sturdy little board books with bright , simple pictures , easy text , and hand - friendly formats are just the thing to delight the very young . Ages 6 months – 2 years .", M og ' s Family of Cats ,1,4,[73]
Education & Reference, H arc ourt School Publishers Math California : Student Edition Grade 2 2 0 0 2 , H arc ourt School Publishers Math : Student Edition Grade 2 2 0 0 2 ,12,7858,[7847]
Science Fiction & Fantasy," A k iko , a Japanese - American fourth - grad er , continues her inter plan etary quest with her odd assortment of companions in search of the lost prince Fro pt opp it , based on a Japanese comic - book series . The epis odic plot follows the adventure rs across the planet Sm oo , over coming obstacles like an enormous wall and a miles - long bridge with a long - ab andon ed restaurant in the middle . The story is filled with warnings of a mysterious villain , but when he appears , Ak iko ' s disk - creat ure companion sends him away with ease . The action abrupt ly stops without resolution , seemingly to be continued in the next volume . The original graphic - no vel format is reflected in the amusing black - and - white cartoons .", A k iko and the Great Wall of Tr udd ,7,14409,"[14385, 14396, 14404, 14749, 14759, 14763, 14767, 14783]"
Growing Up & Facts of Life," O lu wal ase Bab at unde B enson , known as Number 1 , is a car spot ting pro dig y in his village . He ' s renowned for his ability to identify any vehicle , making him the world ' s top car spot ter . In this series , Number 1 showcases his resource fulness by solving various problems faced by his community . When a family ' s cart breaks down , he creates the Toyota Cow - roll a to transport goods to market . Number 1 also runs err ands for his family , helps Mama Coca - Col a feed bus loads of visitors , and even assists Grand mother in getting to the medical centre . Written by At in uke , the author of ' An na H ib isc us ' series , ' The No . 1 Car Spot ter ' is a delightful tale of a smart and resilient character .", The No . 1 Car Spot ter ,2,67034,"[4638, 6459, 8443, 21527, 22967, 31842, 33490, 52227, 62305, 67039, 70242, 71796]"
Growing Up & Facts of Life,,,2,13110,"[6704, 6851, 8531, 8532, 8537, 8574, 8697, 8715, 8732, 13098, 13112, 13154, 13205, 13267, 13271, 13290, 13358, 13370, 13372, 13383, 13404, 13414, 13416, 13471, 13478, 13622, 13716, 13744, 13795, 13847, 13863, 13914, 13915, 13931, 13976, 14026, 14063, 14430, 14591, 14610, 14967, 15894, 16760, 22350, 22363, 22461, 22534, 22596, 22696, 22877, 22883, 22885, 22886, 22905, 22927, 23800, 29305, 36563, 36564, 45922, 52213, 52220, 52239, 52240, 52243, 52252, 52260, 59684, 65090, 65096, 65146, 68219]"
"Activities, Crafts & Games"," W inner of the Canadian Toy Testing Council ' s Three Stars Award , this super - s ne aky m aze book features a double - cross ing , up , down , round & round design . En cour age critical thinking and problem - sol ving skills in children with this engaging and entertaining puzzle book ."," A Double - Cross ing , Up , Down , Round & Round M aze Book ",6,61129,"[10019, 73762]"
Literature & Fiction," Enter tain children with this captiv ating tale of King Jesus ' triumph al entry into Jerusalem on a don key . auth ored by Jess lyn De Bo er , a Michigan resident who loves gardening and walking .", J esus Is Coming ! ( E aster Board Books ),0,8902,"[8869, 8912]"
Animals," Gr ade 4 – 6 — U sing current data , Judge presents an interesting and attractive introduction to the world of din osaur young . Her read able text covers eight C ret ace ous din osaurs , from small Ps itt ac os aurus to gig antic Argent inos aurus . The full - color illustrations are realistic and depict various baby din osaurs , including Salt as aurus and Mai as aur a . The layout and cover are inviting , making it a hit for din oph iles . A time line and further data on the featured din osaurs are provided .", B orn to Be Giants : How Baby Din osaurs G rew to Rule the World ,1,65011,"[29448, 36050, 48990, 51597, 54143, 62255, 65070, 65123, 65169]"
"Science, Nature & How It Works"," Gr 1 - 3 - C art oon characters guide readers through the five body systems . In the N erv ous System , N elly Ne ur on illustrates how signals travel from a finger to the brain and back . The illustrations are presented in a comic - book style with humorous elements and diagrams identifying system parts and functions . Simple sentences provide additional information in these engaging introduct ions .", A Tour of Your N erv ous System ( First Graph ics : Body Systems ),15,50350,"[50378, 52997]"
Literature & Fiction," Come With Me : Po ems for a Journey is a collaborative work between poet Na omi Shi hab N ye and artist Dan Y ac car ino . The book features 1 6 lumin ous poems by N ye , accompanied by Y ac car ino ' s stunning mixed - media coll ages . N ye ' s poems explore journeys internal and external , while Y ac car ino ' s coll ages offer a visual feast . The collection is suitable for ages 4 and older .", Come With Me : Po ems for a Journey ,0,27016,"[1985, 2997, 16347]"
