category,text,label,node_id,neighbour
Literature & Fiction,"Description: ALYSSA SATIN CAPUCILLI is one of the most recognizable names in the easy-to-read field. Her super-successful Biscuit books have sold hundreds of thousands of copies in multiple formats. Alyssa is also the author of Bear Hugs and Panda Kisses, Step 1 Step into Reading books.; Title: Monkey Play (Step into Reading)",0,14076,"[1462, 2282, 2605, 2640, 3642, 4072, 4361, 8340, 8345, 8346, 8361, 8547, 12564, 12717, 12738, 12757, 12846, 12863, 12896, 13094, 13122, 13192, 13375, 13433, 13537, 13571, 13597, 13850, 13881, 13970, 13986, 14077, 14110, 14462, 14484, 14656, 14691, 14701, 15191, 15229, 16694, 16703, 16755, 16819, 17669, 19005, 20606, 23685, 23777, 23790, 24013, 26158, 26249, 26295, 26316, 26417, 26425, 26426, 26494, 26524, 26566, 29502, 29535, 29555, 29593, 29596, 45344, 45346, 47400]"
Literature & Fiction,"Description: Brother and Sister Bear wonder if they can be as brave as David when he fought Goliath. They find out when they face Too-Tall Grizzly and his gang. In The Berenstain Bears and the Gift of Courage, the cubs learn where real courage comes from.Stan and Jan Berenstain introduced the first Berenstain Bear books in 1962. Mike Berenstain grew up watching his parents work together to write about and draw these lovable bears. Eventually he started drawing and writing about them too. Though Stan died in 2005, and Jan in 2012, Mike continues to create the delightful Bear adventures from his studio in Pennsylvania, in an area that looks much like the sunny dirt road deep in Bear Country.; Title: The Berenstain Bears and the Gift of Courage (Berenstain Bears/Living Lights)",0,8953,"[1542, 1543, 1546, 1547, 1550, 1553, 1555, 1558, 1565, 1567, 1586, 1608, 3085, 3092, 3101, 3103, 3109, 3112, 3838, 3845, 3859, 3877, 3878, 3879, 4325, 4328, 8933, 8955, 8961, 8965, 9006, 9010, 9076, 9083, 9097, 9201, 9210, 9215, 9226, 9245, 9266, 9335, 9341, 9342, 9349, 9381, 9426, 9428, 9439, 9441, 9445, 9448, 9454, 9467, 9473, 9512, 12681, 12708, 13312, 15065, 15119, 15124, 15171, 15172, 15176, 15177, 15182, 15188, 15197, 15200, 15205, 15209, 15213, 15217, 15218, 15226, 15230, 15244, 15275, 16781, 26171, 26208, 26281, 26290, 26317, 26370, 26381, 26450, 26481, 26502, 26510, 26519, 26521, 26536]"
"Science, Nature & How It Works","Description: DK was founded in London in 1974 and is now the world's leading illustrated reference publisher and part of Penguin Random House, formed on July 1, 2013. DK publishes highly visual, photographic nonfiction for adults and children. DK produces content for consumers in over 87 countries and in 62 languages, with offices in Delhi, London, Melbourne, Munich, New York, and Toronto. DK's aim is to inform, enrich, and entertain readers of all ages, and everything DK publishes, whether print or digital, embodies the unique DK design approach. DK brings unrivalled clarity to a wide range of topics with a unique combination of words and pictures, put together to spectacular effect. We have a reputation for innovation in design for both print and digital products. Our adult range spans travel, including the award-winning DK Eyewitness Travel Guides, history, science, nature, sport, gardening, cookery, and parenting. DKs extensive childrens list showcases a fantastic store of information for children, toddlers, and babies. DK covers everything from animals and the human body, to homework help and craft activities, together with an impressive list of licensing titles, including the bestselling LEGO books. DK acts as the parent company for Alpha Books, publisher of the Idiot's Guides series and Prima Games, video gaming publishers, as well as the award-winning travel publisher, Rough Guides.; Title: Feel and Find Fun: Building Site: With Touch-and-Feel Tabs",15,53215,"[9793, 9958, 9984, 10017, 13339, 15136, 19383, 21417, 22654, 29235, 30943, 38587, 52571, 53193, 53343, 53414, 54961]"
Growing Up & Facts of Life,"Description: ""I'm Mixed is a simple story which approaches how we describe ourselves from an early age, from the perspective of a young girl who has a black father and a white mother. It encourages children to embrace their appearance without labeling themselves as one race or another. In an increasingly diverse world, acceptance, inclusion and self-awareness are imperative, and Maggy Williams gives us a great starting point for conversation."" --Lori Siesto, MME-MT, MT-BC, author, educator and music therapist ""Maggy Williams' text comes straight from the heart, helping us all say goodbye to the days when a child had to own only one identity. This book is a loving message to all children, regardless of ethnicity. Love who you are, be who you are meant to be and find the joy in being you!"" --Ellen E. Sadler, children's book author and award-winning educator ""At a time when so many feel excluded and less-than, I'm Mixed, by Maggy Williams, reminds us that everyone is to be appreciated and celebrated for who and what they are."" --Cyrus Webb, media personality, author, and speaker""Talk about an empowering storybook! If ever this book was needed, it is now! Maggy Williams inspires courage, self-respect and strength in children who are 'mixed' and children of all colors."" --DeeDee Ginns-Gruenberg, The Self-Esteem ShopMaggy Williams started writing at five years old and hasn't stopped since. She loves creating stories for young readers because they have the best imaginations and because she never wants to grow up. When she's not writing, she enjoys acting and comedy improv, which is basically just make-believe for grown-ups.; Title: I'm Mixed!",2,67237,"[4363, 6743, 10339, 11546, 11671, 13153, 16347, 21109, 24112, 24787, 26219, 28611, 29295, 32724, 37140, 37443, 39391, 41551, 43301, 43988, 45112, 45114, 45652, 45844, 52721, 55583, 57590, 57746, 61676, 62297, 65860]"
"Science, Nature & How It Works","Description: Build your preschoolers understanding of physical, life, and earth science with this full-color activity book! Songs, rhymes, and hands-on projects will motivate your child to learn science concepts that are based on the most current science standards. Each lesson focuses on one science concept and provides engaging activities to help young students learn basic science concepts.; Title: Skill Sharpeners Science, Grade Pre-K",15,68553,"[8210, 21489, 53135, 53140, 53141, 53249, 55661, 55662, 55666, 55682, 55684, 55695, 55715, 55719]"
Animals,"Description: One secret could destroy them all.Yellowfang has dedicated her life to ShadowClan. She is a loyal medicine cat, ready and willing to do anything to protect her Clanmates. But Yellowfang's dreams are haunted by a dark prophecyone that whispers of a devastating secret that will threaten her future and the lives of every cat around her.Erin Hunter is inspired by a love of animals and a fascination with the ferocity of the natural world. As well as having great respect for nature in all its forms, Erin enjoys creating rich, mythical explanations for animal behavior. She is the author of the Warriors, Seekers, Survivors, and Bravelands series. She lives in the UK. Visit her online at www.warriorcats.com.; Title: Warriors Super Edition: Yellowfang's Secret",1,3120,"[2344, 2491, 2505, 2506, 2521, 2564, 2598, 2600, 2601, 2904, 2966, 2986, 3203, 3376, 3613, 3614, 3827, 3831, 4028, 4031, 4039, 4090, 4239, 4243, 4282, 4321, 4334]"
Growing Up & Facts of Life,"Description: First Book and Purposeful Goods share the desire to provide children with books that are meaningful, engaging and relevant to their lives. The Your Buddy Boodles series of books directly achieve this goal - addressing challenging topics in a comforting way, helping kids navigate the unfamiliar and opening the door for further discussion. First Book is thrilled to offer these titles to the educators and kids we serve.We are happy to award deserving books like the ones in the Your Buddy Boodles series by author Christine Burger: ""What does a family look like?, Being adopted is super-duper special!, and We are having a baby!. Our panel of judges felt these wonderful books merited a place on our list of the best in family-friendly products that parents and educators can feel confident in using.Transitioning from baby to big sibling can be tricky, but Christine Burger gives moms and dads the words they're looking forand a buddy, tooso they can tenderly prepare their firstborn for the changes, challenges and memorable moments ahead.Because, ""everybody needs a buddy sometimes,"" Christine Burger created Your Buddy Boodles. Boodles' motto, ""I will wipe away your tears, chase away your fears, and be there with good cheer."" Teachable moments, tender explanations, and embracing 'the why' makes Boodles a parents buddy too. Founder of popular childrens skincare brand Noodle &amp; Boo, Christine has embraced her roles as a mom and entrepreneur by continuing to find ways to use her personal experiences to create products for parents who also want the very best for their children. She truly believes, ""There is nothing more wonderful or more important than caring for and loving a child."" Boodles would agree.; Title: We Are Having a Baby! (Your Buddy Boodles)",2,44670,"[1421, 2801, 8270, 15114, 22649, 37684, 43365, 44671, 49304]"
Sports & Outdoors,"Description: Dave Maas spent five summers working as head instructor and guide at Camp Fish, an educational fishing camp for kids located in northern Minnesota.During this time he gave classroom seminars and on-the-water demonstrations on topics ranging from how to find springtime crappies to the proper method for releasing big muskies. For many years, Dave also served as an editor for the popular ""Freshwater Angler"" series of books.; Title: Ranger Rick Kids' Guide to Fishing: The young angler's guide to catching more and bigger fish (Ranger Rick Kids' Guides)",21,69173,"[3091, 8271, 15367, 19393, 20180, 21601, 21649, 22229, 28080, 30845, 31149, 31209, 42090, 44959, 50056, 50336, 50341, 57853, 57992, 60542, 63201, 67692, 75334]"
History,Description: Anika Fajardo is a former teacher and librarian. Her writing for both children and adults has been published widely and earned awards and grants.; Title: Hercules and His 12 Labors: An Interactive Mythological Adventure (You Choose: Ancient Greek Myths),18,56161,"[19019, 20355, 26396, 31347, 44196, 50164, 50180, 50198, 50209, 50246, 50250, 50261, 50353, 50387, 54020, 54052, 56144, 56152, 56177, 56193, 56194, 57830, 68125, 68172]"
History,"Description: Grade 5-9-In her introduction, Fleming says that she set out to write a straightforward biography of one of America's most forward-thinking and inventive statesmen but found the form to be too restrictive and not true to Franklin's wide-ranging interests and accomplishments. She has written instead a compendium of ""-bits and pieces by subject"" put into eight chapters with headings such as ""Boyhood Memories"" and ""Tokens of a Well-Lived Life."" In scrapbook style, the chapters are centered around excellent-quality visuals-portraits, etchings, cartoons, and sketches-linked together with engrossing text and numerous nuggets of Franklin's prose, which include his reminiscences and observations. The result is an authoritative work of depth, humor, and interest, presenting Franklin in all his complexity, ranging from the heroic to the vulgar, the saintly to the callous. Read cover to cover, the book gives a three-dimensional picture of a life, but it is equally good for dipping into and turning up the interesting anecdote or bit of wisdom, thus appealing to both serious readers and browsers. Beginning with a year-by-year chronology, the volume also includes lengthy bibliographies, a list of picture sources, Web sites, and a thorough index. Reminiscent of Franklin's own Poor Richard's Almanack, this book is a superlative example of the biographer's craft and a fitting tribute to the gentleman himself.Ann Welton, Grant Elementary School, Tacoma, WACopyright 2003 Reed Business Information, Inc.Gr. 6-9. There's no shortage of books on Franklin, but this biography, which springs from Fleming's lifelong fascination with the multitalented man, is unlike anything that has come before, and it bears no resemblance to Fleming's picture-book work. Designed more like a scrapbook than an almanac, it's a visually rich but densely packed amalgamation of anecdotal narrative, boxed insets, black-and-white reproductions of period documents and artwork, and material obtained from Franklin's personal papers--all organized into topical chapters on Franklin's family life, writings, scientific pursuits, and political involvement. The whole gives an excellent sense of the time in which Franklin lived, but the thematic organization here sacrifices continuity and leaves occasional gaps. The science section is perhaps the best as it falls neatly into invention-specific discussions. Lively anecdotes greatly expand the main text, and numerous quotes by and about Franklin give the man a truly human face, even as they raise questions that continue to puzzle historians. A fitting tribute to a ""good gentleman"" whose life was well and energetically lived. Web sites and further readings are appended. Stephanie ZvirinCopyright &#169; American Library Association. All rights reserved; Title: Ben Franklin's Almanac: Being a True Account of the Good Gentleman's Life",18,27750,"[6191, 13167, 13329, 13336, 20039, 45296, 45731]"
Growing Up & Facts of Life,"Description: Sheila Walsh is a world renowned recording artist, keynote speaker for Women of Faith, former co-host of The 700 Club, and the author of several books for grown-ups, including Honestly and Living Fearlessly. She and her husband, Barry, live with their son, Christian, near Nashville, Tennessee.; Title: Einstein's Enormous Error: A Story About Forgiving Others (Gnoo Zoo, Book Three)",2,61966,"[61964, 61967]"
Science Fiction & Fantasy,Description: 2017 MARVEL.; Title: Spider-Man: Homecoming: Mayhem at the Monument,7,11538,"[2797, 3618, 3903, 8528, 8616, 11072, 11506, 11515, 11521, 11523, 29545, 49130]"
Growing Up & Facts of Life,"Description: Sienna Mercer is the author of the My Sister the Vampire series, which includes Fangtastic!, Re-Vamped!, and Switched! She lives in Toronto.; Title: Date with Destiny (My Sister the Vampire)",2,46984,"[1979, 1981, 46987, 46990, 46991, 46996, 47020]"
Growing Up & Facts of Life,"Description: In the early 1940s, a loving father crafted a small blue wooden engine for his son, Christopher. The stories that this father, Reverend W. Awdry, made up to accompany this wonderful toy were first published in 1945. He continued to create new adventures and characters until 1972, when he retired from writing. Reverend Awdry died in 1997 at the age of 85.Richard Courtneyis a published illustrator known for his colorful work in the childrens book seriesThomas &amp; Friends.Tommy Stubbs is an illustrator. His works include The Birthday Express!, A Crack in the Track, and Blue Mountain Mystery. ; Title: Thomas &amp; Friends Story Time Collection (Thomas &amp; Friends)",2,23660,"[8238, 8627, 8688, 8720, 12782, 13006, 13007, 13091, 13147, 13311, 13339, 13362, 13751, 13987, 14470, 14485, 14500, 14516, 14587, 16677, 16778, 16796, 19511, 19512, 19524, 23682, 26167, 26368, 26558, 35591, 45316, 45353, 45441, 58107, 58113]"
Growing Up & Facts of Life,"Description: Praise forbook one in the Triple Threat series, The Walk On: All the goods for the sports enthusiastand more. Kirkus Reviews Full of refreshingly decent high school students, first crushes, a dose of dating drama, and a cliff-hanger ending,The Walk Onwill interest even non-football fans. School Library Journal Praise forbook two in the Triple Threat series, The Sixth Man: Suspenseful and well-dramatized sports action scenes. . . . Solidly drawn, both on and off the court. Kirkus ReviewsJohn Feinstein is the author of many bestselling books, including A Season on the Brink and A Good Walk Spoiled. His books for young readers offer a winning combination of sports, action, and intrigue, with Last Shot receiving the Edgar Allan Poe Award for best young adult mystery of the year. He lives in Potomac, Maryland, and on Shelter Island, New York, with his family. Follow him on twitter @JFeinsteinBooks.; Title: The DH (The Triple Threat, 3)",2,23924,"[2173, 2184, 2974, 3351, 3363, 3629, 3635, 3664, 3726, 6000, 6119, 6402, 6412, 6430, 6604, 6647, 6712, 6822, 10421, 11299, 13461, 13649, 15045, 15769, 15839, 21638, 21778, 22834, 54549, 54613, 54944, 55013, 55120, 55373, 55494, 56419, 58513]"
Geography & Cultures,"Description: (Click to enlarge)Jerry Pallotta's The Icky Bug Alphabet Book has sold more than one million copies. His book Who Will Plant a Tree? was awarded a National Parenting Publications Gold Award and named a USA Book News Best Book. He lives in Boston, Massachusetts.; Title: F is for Fenway: America's Oldest Major League Ballpark (Sleeping Bear Alphabets)",11,63348,"[6680, 13602, 13872, 14695, 15085, 18919, 43369, 43680, 43684, 51147, 55452, 61174, 61257, 63285, 66039, 66051, 66068, 66105, 67876, 69002, 72604, 73663, 73736, 75225]"
Growing Up & Facts of Life,"Description: This appealing Ripleys-esque offering pairs two perennial favorites: oddities of the animal kingdom and gross scientific factoids. Adults may be better off not knowing that a cute bunny eats its own feces or that a giant water bug breathes through its behind, but the gross-out factor will be a huge draw for kids, especially reluctant readers. Stewarts thorough scientific explanations are tempered by a casual language (A mouthful of pee would make any predator lose its appetite) that keeps the text from becoming too heady. Photographs are bright, numerous, and arranged in a style that mimics other high-interest reference and nonfiction. Children will be so delightfully disgusted they may not notice that they are learning basic and important biological concepts such as ecological adaptation and environmental stewardship. A detailed glossary includes brief and understandable definitions of all sorts of fun jargon: cecotrope, regurgitate, and more. Grades 3-6. --Erin Anderson; Title: Animal Grossapedia",2,22344,[62293]
Literature & Fiction,"Description: Allison Lassieur has written more than 100 books on many topics, including history, biography, science, and current events. She has also written fiction novels and short stories, puzzles, and activities. When she isn't busy writing, Allison enjoys knitting, spinning, and reading good novels. Allison lives in Trenton, Tennessee with her husband, daughter, and a houseful of pets.; Title: Colonial America: An Interactive History Adventure (You Choose: Historical Eras)",0,50246,"[1587, 4437, 6850, 11214, 12641, 17316, 19125, 24588, 26812, 27415, 33590, 39325, 43397, 46934, 48351, 50164, 50241, 50250, 50251, 50261, 50301, 50314, 50334, 50346, 50352, 50353, 50355, 50362, 50365, 50380, 50387, 52702, 53053, 53216, 54013, 54020, 54027, 54036, 54049, 54052, 54934, 56078, 56118, 56122, 56123, 56125, 56128, 56135, 56144, 56163, 56177, 56181, 56200, 57796, 57809, 57830, 67675, 67677, 67682, 67685, 73794, 73806, 73808, 73817, 73822, 74577, 74969, 75206]"
Science Fiction & Fantasy,Description: 2017 MARVEL.; Title: Spider-Man: Homecoming: The Tangled Web of Super Tech,7,11521,"[8528, 11485, 11506, 11515, 11523, 11538, 49130]"
Growing Up & Facts of Life,"Description: Harriet Ziefert is a well-known author who has written over one hundred books for children. When she is not writing, she commutes between her homes in Lincoln, Massachusetts and Maplewood, New Jersey.Emily Bolam 's first children's book was published upon her graduation from art school. She has been creating books ever since, including Goin' to Boston, about a city she loves to visit. She lives and works in Brighton, England.; Title: Buzzy's Boo-Boo",2,64511,"[64500, 64510]"
Growing Up & Facts of Life,"Description: -teaching standards-based math skills-promoting higher-level thinking-developing independent learning skills-supporting cooperative learning-engaging early finishers-Made to last from durable card stock-Write-on/wipe-away surface-Color-coded for easy organization and cleanup-Easy-to-follow directions-Coordinating game cards; Title: Math Thinking Mats, Grade 1 (Ready to Go)",2,55712,"[42076, 55723]"
Growing Up & Facts of Life,"Description: Raves for New Lands""The plot follows a classic adventure arc but remains nonetheless surprising: the characters never quite behave in expected ways . . . Even though the world is fictional, the portrayal of the Native tribes and their culture and interactions with Egg and Pembroke may make for some interesting comparisons to Robinson Crusoe and Treasure Island. Fans of Egg will be glad for the sequel and anxious for the concluding installment.""--BCCB""The second installment of the Chronicles of Egg delivers more danger, diabolical plots and dastardly villains than the first, and thats saying a lot . . .Eggs narration, fresh and funny as ever, keeps readers engaged with the increasingly complicated plot. Occasionally gruesome, often funny and full of suspense, this one is sure to win Egg some new fans.""--Kirkus ReviewsGeoff Rodkey (www.chroniclesofegg.com)is the Emmy-nominated writer of such hit films asDaddy Day Care,RV, and the Disney Channel'sGood Luck Charlie, It's Christmas. He grew up in Freeport, Illinois and began his writing career on his high school newspaper.His early writing credits include the educational video gameWhere In the World Is Carmen Sandiego?andthe non-educational MTV seriesBeavis and Butthead. Geoff currently lives in New York City with his wife and three sons. They do not have any pets, mostly because the whole experience with the goldfish was just too upsetting.; Title: New Lands (The Chronicles of Egg)",2,6824,"[6412, 6883, 11155, 11230, 45993, 48684, 55570]"
"Cars, Trains & Things That Go","Description: In the early 1940s, a loving father crafted a small, blue, wooden engine for his son, Christopher. The stories that this father, THE REVEREND W. AWDRY, made up to accompany this wonderful toy were first published in 1945. He continued to create new adventures and characters until 1972 when he retired from writing. Reverend Awdry died in 1997 at age 85.; Title: The Birthday Express! (Thomas &amp; Friends)",4,14494,"[8238, 8469, 8627, 8719, 8720, 12782, 12792, 13122, 13339, 13479, 13918, 13987, 16778, 16796, 19528, 23660, 23682, 23933, 26167, 26558, 45276, 45316, 45380, 45441, 48928]"
Animals,Description: Do Your Ears Hang Low?; Title: Do Your Ears Hang Low?,1,52734,"[1122, 1367, 2937, 2948, 3383, 3388, 3652, 3663, 3828, 3830, 4598, 10223, 11904, 13848, 22416, 23969, 26954, 27248, 28496, 33431, 40653, 45827, 45886, 47950, 52513, 52663, 52738, 52753, 53357, 54465, 55848, 55992, 56941, 62874, 67255, 67818, 67821, 68429, 69159, 74388, 74392]"
Growing Up & Facts of Life,"Description: Ten-year-old British twins Ruby and Garnet take turns narrating this broad comedy, a winner of the Smarties Prize; PW described it as ""an unexceptional mix of familiar plot devices."" Ages 9-12. Copyright 1999 Reed Business Information, Inc.Ten-year-old Ruby and Garnet are identical twins who do everything together. Especially since their mother died three years earlier. They dress alike, wear their hair the same, and sit together in every class. In fact, everything about them is the same--except their personalities. Ruby is funny and outgoing, Garnet is sensitive and shy. Together they're the perfect double act--and that's just the way they like it. Soon the twins' life is turned upside down. Their dad has been spending a lot of time with his new ""friend"" Rose. Ruby and Garnet can't stand Rose. To make matters worse, Dad and Rose buy a bookstore out in the country and the whole family moves. Ruby hates their new school, but Garnet thinks it isn't all that bad. When Garnet befriends some of their new classmates, Ruby feels betrayed and stops speaking to Garnet. Garnet misses her sister terribly, but has to admit it's nice doing things on her own for a change. Somehow, the girls will have to find a way to maintain their special twin relationship without spending every minute of the day together.; Title: Double Act",2,18056,"[9656, 14755, 18137, 18224]"
Growing Up & Facts of Life,"Description: Kline is right on the mark when it comes to both her audience and her characters. BooklistSuzy Kline, the author of nineteen previous Horrible Harry books and four books about Song Lee, lives in Willington Connecticut with her husband, Rufus. Suzy and Rufus have been married for thirty-eight years. They met in the state where they both grew up: California. Suzy grew up in Berkeley and Rufus in Sacramento. Suzy graduated from the University of California at Berkeley with a degree in European history. She met Rufus at the Davis campus while attending that campus for a year. They got married and lived in different places, including Canada, before settling into Connecticut, the state they now call home.Suzy taught in 5th and 6th grades at Shannon Elementary School in Richmond, California for 3 years, and 2nd and 3rd grades at Southwest Elementary School in Torrington, Connecticut for 24 years before retiring this past June. She now enjoys writing full-time and visiting schools and libraries. The couple share their home with two cats, Teeter and Hoag. They have two daughters, Jennifer and Emily, and four grandchildren: Jake, Kenna, Gabby and Saylor. A fifth grandchild is due in September, 2006. Suzy's mother just turned 96. She dedicated her most recent book, Horrible Harry Takes the Cake to her.Suzy and Rufus enjoy attending UConn football and basketball games, and Suzy uses the UConn library as a reference for her writing facts.; Title: Horrible Harry and the Stolen Cookie",2,6573,"[3186, 5270, 5283, 5316, 5327, 5329, 5334, 5340, 5634, 5638, 5646, 5651, 5654, 5675, 5682, 5683, 5692, 5921, 5976, 6057, 6104, 6153, 6349, 6488, 6564, 6618, 6693, 6727, 6745, 6792, 6886, 6940, 6942, 13719, 14704, 19249, 27756]"
