category,text,label,node_id,neighbour
Literature & Fiction,"Description: Grade 1-5&ndash;Based on an ancient legend, this story tells of a young man who is sent to find buffalo. Through a dream/vision, he saves the Cree people from starvation by actually finding the animals when it seemed there would be none to provide for winter survival. Told in the quiet, spare style of many Native American tales, this story stays calm even in the face of great trouble. The illustrations of the prairie beautifully capture the light and feel of the region in fall. Immediacy is retained by the use of the present tense throughout the book. Full-page layouts increase the sense of open space, although the text is difficult to read when it is placed on darker colors. Used as a read-aloud, this title provides an evocative introduction to the life on the plains and the ways of these people.&ndash;Cris Riedel, Ellis B. Hyde Elementary School, Dansville, NY Copyright &copy; Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.Gr. 1-3. The Cree people have not seen buffalo all summer. Now in the Moon of Changing Leaves, the people must find the herds if they are to have food for the winter. After discovering a white stone in the shape of a buffalo, young Sky Running dreams of great buffalo herds in enemy territory known as the Badlands. Despite the danger, his tribe sets off toward the buffalo, never encountering the enemy but eventually finding vast herds of the animal. The colorful, double-page paintings by Native American artist Lonechild are especially effective when showing the landscapes of the northern Plains and the haunting Badlands region. Skillfully told and illustrated, this memorable tale is based on a traditional Cree story about the power of prayers and dreams to ensure people's survival. Karen HuttCopyright &#169; American Library Association. All rights reserved; Title: Hidden Buffalo (Northern Lights Books for Children)",0,41818,"[44562, 59610, 73227]"
Animals,"Description: &#8220;Fun, factual, and fabulously photographed, Curious Critters demonstrates the important role of literature in helping young readers connect with nature.&#8221; &#8212;Richard Louv, author of Last Child in the Woods and The Nature Principle David FitzSimmons&#160;is an award-winning photographer and writer. His Curious Critters children&rsquo;s picture books--Curious Critters,&#160;Curious Critters Volume Two, and&#160;Curious Critters Marine--have won numerous national book awards and have sold over 100,000 copies. A Sigma Pro photographer, David presents seminars and workshops across North America to a wide variety of audiences. He holds a Ph.D. in English from Ohio State, with a specialty in narrative theory. A life-long educator, David frequently visits schools to talk about connecting children and nature.&#160;He lives in Bellville, OH.; Title: Curious Critters Missouri (Curious Critters Board Books)",1,74463,[74462]
Literature & Fiction,"Description: Gr. 3-5. Through the 1848 journal of nine-year-old Joshua McCullough, readers come face-to-face with the rigors of the wagon-train trek from St. Joseph, Missouri, to the Oregon Territory. Joshua shares the daily routines of wagon train travel, making real the everyday annoyances as well as the life-threatening dangers that are part of the trip. Washing away trail dust that cakes animals' eyes shut, pitching in to replace another family's possessions that spilled into a river, burying those who die along the way from illness or wagon accidents are among the events recounted in Joshua's simply penned, yet compelling entries. This perceptive boy senses a mother's pain over the loss of her children on the trail and, despite others' mistrust and fear, observes, ""Indians are a lot like the rest of us."" This entry in the My America series will stick in readers' minds and enrich their studies of the era. Ellen MandelCopyright American Library Association. All rights reserved; Title: My America: Westward To Home: Joshua's Oregon Trail Diary, Book One",0,17033,"[1946, 2565, 2948, 5303, 5338, 5508, 5977, 11661, 16970, 16985, 17002, 17004, 17020, 17025, 17049, 17087, 17096, 17102, 17131, 17144, 17160, 17176, 17195, 17316, 18432, 19127, 19356, 22370, 24174, 24243, 24258, 24263, 24320, 24515, 26380, 26419, 27196, 27234, 30692, 45726]"
Growing Up & Facts of Life,"Description: Grade 5-8In this fourth installment featuring the Casson family, McKay's strong points shine through. Though it takes much of the book to get there, the climactic event is the (attempted) marriage of oldest sister, Caddy, to someone other than Darling Michael. The youngest sibling, Rose, has promised Michael not to let his true love marry anyone else in his absence. Luckily, Rose's teacher has informed her that there is a point in the ceremony where the umpire says: Anyone got any problems before I go ahead? McKay's brilliance is in her characterization. As the narrative viewpoint shifts, each character is unique, charming, and entirely likable. The depth of the story is conveyed in the dynamic of this family that is at times both touching and hilarious. Beautifully crafted descriptive language makes this offering a real gem. It does not stand alone, however, as previous knowledge of the characters and the story line is required.Rebecca Stine, The Ferguson Library, Stamford, CT Copyright Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.Gr. 6-9. McKay's fourth novel about the Casson family begins with every child's nightmare: while listening to a ghost story at school, nine-year-old Rose wets herself. Once again, McKay creates a sly, jovial portrait of an English family that pitches toward minor disasters only to be rescued by its own loving, eccentric members. Narrated in the voices of the three youngest Cassons (Rose, Indigo, and Saffron), whose passages sometimes employ lists and appendixes, the novel is more fragmented than its predecessors, and readers meeting the Cassons for the first time may wish for more background. Despite that, the crowd of voices echoes a large family, with each person trying to be heard, and the dramas, from older sister Caddy's engagement to Rose's thrilling discovery of ""a flying feeling,"" are as wild and endearing as ever. Readers will also delight in the precise, human details, narrated by children who miss nothing: ""Tired people cannot learn,"" says Rose's teacher as she dumps a handful of markers into her full coffee cup. Another charmer for Casson fans. Gillian EngbergCopyright American Library Association. All rights reserved; Title: Caddy Ever After (Casson Family)",2,47435,"[27978, 28270, 47645, 51522]"
Growing Up & Facts of Life,"Description: Mixing the true and the truly wild, Jason Chin offers up engaging facts about the towering trees of California and Oregon along with bright, captivating illustrations that pluck a kid out of New York City and plunge him into the redwood forest. The Washington PostThe story in the illustrations shows in lovely metaphor how a tiny seed of information can take root in a fertile mind and grow into a strong, fire- and disease-resistant, redwood-sized understanding. Los Angeles TimesThis eco-friendly introduction to our state tree relies on straightforward writing for the facts and soft-edged art for a fanciful perspective. San Francisco ChronicleChin packs a great deal of information into his succinct text, and the blend of fantasy and realism in his watercolors will charm readers. Science magazine* Chin's watercolor illustrations capture both the majesty of the redwoods and the young boy's inquisitive personality, and while the idea of a storybook so vivid that it comes to life is not new, what sets this one apart is that Chin has paired his fantastical visual narrative with a straightforward nonfiction text. The Horn Book, starred review* The straightforward narrative is given enormous energy by the inventive format and realistic watercolor illustrations--their soft edges and muted hues suit the mist-shrouded giants. Chin adeptly captures the singular and spectacular nature of redwoods in this smartly layered book. Publishers Weekly, starred review* A real eye-opener. . . . The text clearly and succinctly presents information, which is effectively illustrated in the colorful paintings. Even better, the narrative element in the artwork soars, promising to engage children imaginatively as well as intellectually. Booklist, starred reviewThe dazzling watercolors create an ingenious journey to highlight the facts. The Cleveland Plain DealerThis inventive story will charm and educate readers and send their imaginations soaring. School Library JournalAn inventive, eye-opening adventure. Kirkus ReviewsA straightforward and informative text about coastal redwoods captions pictures that tell not exactly a different story, but one whose metafictional cheek will draw readers in--just as the book's hero is drawn, by his imagination, high into the redwood canopy. Science and story are seamlessly pulled together in neatly crafted paintings. The Horn Book, a Fanfare 2009 bookJASON CHIN worked as a children's bookseller. He has illustrated several books, but Redwoods is his author-illustrator debut. He lives in Vermont.; Title: Redwoods",2,45694,"[3736, 3995, 4121, 4784, 4826, 6098, 7373, 7654, 10870, 10902, 11222, 12851, 19035, 19404, 22876, 23334, 23783, 25657, 27886, 31869, 32437, 33656, 33731, 33892, 35414, 36570, 36620, 37967, 42602, 45286, 45727, 45729, 45806, 48242, 49080, 51368, 51876, 52410, 52608, 52649, 53256, 54481, 61092, 61164, 61974, 62252, 62280, 62293, 62454, 62709, 62869, 65089, 65102, 65131, 65171, 65174, 65178, 67340, 68107, 68188, 68192, 68210, 68894, 70581, 71086, 71778, 73154, 74080, 74561, 74965]"
Growing Up & Facts of Life,"Description: A little one hunts for a missing sock. This quick board book loosely details the hunt for a missing red sock, but the real goal is expanding nascent vocal skills. A note for parents on the opening pages details the importance of constantly talking to babies, even when they can't respond. By listening to a constant narration of the day's activities, little ones will soak in all sorts of meanings, tones, and conversational patterns. The actual story's text consists entirely of a mother's narration of her laundry duties preparatory to a trip to the park. The mom and child pictured are Asian-American, and both are clearly delighted with each other; the baby's giggling is almost audible. This is a book best read to the youngest of readers, as it's designed for parents of babies that are barely cooing. A similar title, A Fish to Feed, goes one step up the developmental ladder and is aimed at those who can say a few words but not much else. A sweet story that instructs parents as well as delighting babies. --Kirkus Reviews Ellen Mayer is a writer and early literacy home visitor who helps families support their children's language development through books and play. She has a M.Phil. in Sociology and worked as a researcher at Harvard's Graduate School of Education, studying family engagement in education.; Title: Medias Rojas / Red Socks (Spanish/English) (Spanish Edition) (Spanish and English Edition)",2,64856,"[5373, 9850, 10924, 52894, 52899, 61648, 64882, 64883, 74124]"
Animals,"Description: Author-illustrators Agnese Baruzzi and Sandro Natalini met while studying in Urbino, Italy. They have gone on to illustrate a number of childrens books, working both individually and together.; Title: The True Story of Little Red Riding Hood: A Novelty Book",1,32832,[32456]
"Activities, Crafts & Games","Description: PreSchool-KThis simple story takes children on an evenly paced cross-country tour. While playing with his toy, a boy imagines heading off for adventure in a life-size rig. With horn blasting and engine roaring, he sets off through the city, over a bridge, into the country, across a valley, up a mountain, through a tunnel before taking a doughnut break at a truck stop. After munching on his snack, the youngster climbs back into the cab. He continues onward, rolling across a desert, over mountains, across plains, through a forest, and on to the sea. At a harbor, the child unloads his cargo. He quickly returns to reality when his dad calls him for dinner. Minimal text appears on each page. Garofoli's bright spreads, rendered in Adobe illustrator, convey the essence of each geographic locale and extend the short text. The bouncy book jacket depicting the semi rolling across a quilted bedspread will entice youngsters with an interest in trucks. London fans will be looking for this title to accompany A Truck Goes Rattley-Bumpa (Holt, 2005).Lynn K. Vanca, Akron-Summit County Public Library, Richfield, OH Copyright Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.A boy's toy yellow truck revs up his imagination and inspires a daydream of driving an 18-wheeler across the country. After rolling across a bridge, through a valley, and over a mountain, he pulls into a truck stop for doughnuts before hitting the road again. Across desert and prairie, through forests, and down to the sea, the truck barrels along until it arrives harborside, where its cargo is loaded onto ships. And just in time, too, because the boy's father is calling him for dinner. Argentine artist Garofoli contributes a fine series of digitally assisted illustrations, featuring clean lines, fresh colors, and varied compositions. West to East, left to right, page after page, the truck rolls along through the wide double-page spreads. Neatly capturing the easy way in which children slip from playing around to playing intently, this motor-minded fantasy would be a good book to share before a road trip. Carolyn PhelanCopyright American Library Association. All rights reserved; Title: My Big Rig",6,31779,"[6228, 31919, 31927, 49195, 58874]"
Growing Up & Facts of Life,"Description: Read and find out about one of nature's most mysterious forcesthe earthquake. Some earthquakes are so small that you don't even feel them, while others can make even big buildings shake! Learn why earthquakes happen, where they are most likely to occur, and what to do if one happens near you.Franklyn M. Branley was the originator of the Let's-Read-and-Find-Out Science series and the author of close to 150 popular books about scientific topics for young readers of all ages. He was Astronomer Emeritus and former Chairman of the American Museum of Natural History-Hayden Planetarium.; Title: Earthquakes (Let's-Read-and-Find-Out Science 2)",2,4021,"[617, 1686, 1997, 2263, 3736, 3777, 3791, 3809, 3990, 3995, 3996, 3998, 3999, 4002, 4005, 4007, 4011, 4013, 4016, 4017, 4018, 4020, 4025, 4030, 4686, 4719, 4750, 4753, 4766, 4772, 4784, 4800, 4802, 4809, 4817, 4818, 4821, 4833, 4907, 4923, 6240, 7347, 13079, 24454, 25041, 26490, 26540, 26997, 27236, 35988, 39141, 39143, 39399, 40851, 46701, 48149, 49595, 53655, 65169]"
Education & Reference,"Description: Milet Publishing is a leading independent publisher of books for children, young adults, and adults, featuring more than 300 titles in English and more than 25 languages that&#160;celebrate multiculturalism and multilingualism. They are based in Chicago.; Title: My First Bilingual BookMusic (EnglishVietnamese)",12,71162,"[9850, 36711, 36713, 54168, 56654, 71135, 71145, 71151]"
Growing Up & Facts of Life,"Description: ""Powerful images of dancing kites, ascending doves, women in burqas, a child playing with toys made from trash and flowers sprouting from tanks juxtapose the real and the aspirational. Ardent advocacy for Afghan peace."" &#8212;Kirkus Reviews (September 2012), on the English-language edition""Ana A. de Eulate's prose is poignantly lyrical. Her sophisticated style is warm and welcoming, as are Sonja Winter's illustrations. Her eye-catching lines and stylized depictions are masterfully rendered. Her use of light &#8212; stunning."" &#8212;www.CrackingTheCover.com, on the English-language editionThe award-winning author Ana Eulate has enjoyed writing and telling stories since she was a child. After earning her university degree, Ana collaborated with an art magazine, worked at the Ministry of Economy and Finance in Madrid, was appointed Commercial Attach to the Spanish Embassy in Rio de Janeiro, and also worked at the General Directorate for External Relations of the European Commission in Brussels.After several years studying and working as a designer in her hometown Munich and Brussels, Sonja Wimmer decided to devote herself to illustration and traveled to Barcelona to continue her artistic training at the Llotja School of Design Art. Since then, she lives between brushes and stories, working as an illustrator and freelance for publishers and other customers worldwide. She has received many awards for her work in the United states, most notably Gold Medal for Best Illustrator for The Word Collector.La galardonada autora Ana Eulate encantaba escribir y contar cuentos desde que era una nia. Despus de terminar sus estudios universitarios estuvo colaborando en una revista relacionada con el mundo del arte. Trabaj en el Ministerio de Economa y Hacienda en Madrid y estuvo destinada en Ro de Janeiro como Agregada Comercial de la Embajada de Espaa y en Bruselas en la Direccin General de Relaciones Exteriores de la Comisin Europea.Despus de estudiar y trabajar varios aos de diseadora en su ciudad natal Munich y en Bruselas, Sonja Wimmer decidi dedicarse plenamente a la ilustracin y viajar a Barcelona para continuar su formacin artstica en la Llotja, Escola Superior de Disseny i Art. Desde entonces, vive entre pinceles y cuentos, trabajando como ilustradora y escritora freelance para editoriales y otros clientes en todo el mundo. A lo largo de los ltimos aos varios de sus libros ilustrados para Cuento de Luz han sido premiados en Estados Unidos.; Title: El cielo de Afganist&aacute;n (Spanish Edition)",2,76219,"[16347, 51247, 73447, 76208, 76213, 76227, 76240, 76252, 76256, 76349]"
Sports & Outdoors,"Description: Lauren Johnson is a freelance writer and editor living and working in North Carolina. In her spare time she likes to read, paint, and practice marital arts (like the moves found in this book!).; Title: Beastly Basketball (Sports Illustrated Kids Graphic Novels)",21,50964,"[4071, 4259, 4260, 6047, 6412, 6620, 6915, 10288, 11395, 11583, 13471, 13478, 13795, 14026, 19175, 21391, 21778, 22276, 22534, 22883, 22927, 23803, 23998, 24021, 27066, 27752, 28517, 50221, 50689, 50691, 50713, 50716, 50731, 50741, 50743, 50748, 50750, 50755, 50760, 50761, 50789, 50793, 50796, 50797, 50803, 50806, 50809, 50815, 50819, 50827, 50865, 50869, 50878, 50879, 50902, 50947, 50974, 50986, 51308, 52239, 56777, 56782, 56820, 56821, 57363, 57688, 58086, 58616, 58692, 58704, 68171, 68219, 70069]"
Literature & Fiction,"Description: ""Creating a book that reads as though written in one effortless breath requires a rare talent . . Readers will root for a painfully shy girl to discover the depths of her own courage and find hope in the notion that even in tumultuous times, standing up for the people you love can&rsquo;t be wrong. Satisfying, gratifying, touching, weighty&mdash;this authentic piece of work has got soul.""&mdash;The New York Times Book Review&ldquo;Kristin Levine&rsquo;s The&#160;Lions of Little Rock, the story of a black girl and a white girl who become friends during the integration of that city&rsquo;s schools in 1958, has been awarded the New-York Historical Society&rsquo;s first children&rsquo;s history book prize.&rdquo;&mdash;New-York Historical Society Children&rsquo;s History Book Prize Award&ldquo;A story of friendship between two girls in the civil-rights-era South.&rdquo;&mdash;The&#160;New York Times Book Review Editor&rsquo;s Choice Award* &ldquo;The remarkable story of the Little Rock Nine is familiar to many, but what happened next? In this quietly powerful page-turner, Levine focuses her attention on the events that unfolded in Little Rock the year after the integration of the city&rsquo;s public schools.&rdquo;&mdash;Kirkus Reviews, starred review* &ldquo;With remarkable depth and clarity, Levine unflinchingly portrays racial tension in the 1950s Deep South. Reader will be moved by Marlee and Liz&rsquo;s strong bonds and inspired by Marlee&rsquo;s unwavering tenacity in the face of what seems like insurmountable adversity.&rdquo;&mdash;School Library Journal, starred review* &ldquo;Successfully weaving historical events with a dynamic personal narrative, Levine (The Best Bad Luck I Ever Had) offers a riveting, frequently tense portrait of 1958 Little Rock, Ark., the tumultuous year when the governor refused integration by closing local high schools.&rdquo;&mdash;Publishers Weekly, starred reviewKristin Levine&#160;(www.kristinlevine.com) received her BA in German from Swarthmore College and an MFA in film from American University. She spent a year in Vienna, Austria, working as an au pair, and has taught screenwriting at American University. Currently, she lives in Alexandria, Virginia, with her two daughters. She is the author of the critically acclaimed&#160;The Best Luck I Ever Had,&#160;The Lions of Little Rock, and&#160;The Paper Cowboy. Follow her on Twitter&#160;@KristinSLevine.; Title: The Lions of Little Rock",0,6631,"[2764, 6051, 6173, 6434, 6485, 6577, 6584, 6661, 6680, 6729, 6829, 6835, 6905, 8569, 9285, 11452, 13510, 13690, 17050, 17432, 22304, 22839, 25579, 28182, 29298, 48591, 52766, 55053, 56401, 62733, 74563]"
Religions,"Description: David R. Helm (MDiv, Gordon-Conwell Theological Seminary)serves as lead pastor of the Hyde Park congregation of Holy Trinity Church in Chicago. He also serves as Chairman of The Charles Simeon Trust, an organization which promotes practical instruction in preaching. He is the co-author of The Genesis Factor (with Jon Dennis), a contributor to Preach the Word: Essays on Expository Preaching, and the author of The Big Picture Story Bible and1 and 2 Peter and Jude in the Preaching the Word commentary series.; Title: The Big Picture Bible Verses: Tracing the Storyline of the Bible",20,50544,"[8874, 9316, 9481, 30032, 44849, 50543, 50545, 50546, 50548, 50561, 70849, 70999, 75155, 75157, 75417]"
Animals,"Description: A small magical farm can be found in the forest of Southern Illinois. On this 3-acre wood lives a family of furry, four-legged, feathered, and fairy friends. The care-giver of this wee farm is Josie Hladick, who was a teacher of Special Needs Preschoolers for over 30 years. She now resides happily with her family of miniature donkeys, goats, dogs, chickens, bunnies, miniature horses, a llama, an alpaca, three ducks, and one very special pig. Countless squirrels, chipmunks, birds and other forest friends inhabit the farm. There is no place she would rather be......as she invites you to join her there through her stories of ""The Farm in the Forest.""; Title: Christmas At the Farm in the Forest",1,55641,[69724]
Growing Up & Facts of Life,"Description: Gr 2-4-Fourth-grader Jake Drake looks back on his third-grade science-fair project. Sure, he learned a lot about electromagnets, but he learned even more about the pitfalls of being a know-it-all. It all started when his principal announced the school's first-ever science fair. The plot thickened when a local businessman announced that a computer would be the grand prize. A self-described computer nut, Jake refused to work with his best friend because he didn't want to share the prize. Finally, it came to him that his single-mindedness was turning him into a person he didn't like, and his project wasn't fun. Even though he and his partner took second prize, and thus no computer, Jake valued the experience. He sounds like a regular fourth grader as he describes his teachers and classmates. But he also digs deep to reveal the character-building lessons in everyday events. Full-page, black-and-white drawings show the competitive classmates as they work toward winning the great prize. A cut above the usual beginning chapter book because of its depth, this realistic plot and Jake's personality will seal the deal with transitional readers.Pat Leach, Lincoln City Libraries, NECopyright 2001 Cahners Business Information, Inc.; Title: Jake Drake, Know-It-All #2",2,27783,"[675, 1763, 2706, 3394, 3512, 4638, 5229, 5327, 5334, 5340, 5921, 6058, 6114, 6121, 6156, 7607, 8691, 10089, 10583, 12752, 13370, 13414, 13729, 14197, 14252, 15179, 16713, 16991, 18083, 18145, 18503, 18564, 19198, 19345, 22727, 22883, 23002, 26209, 26227, 26383, 27903, 28285, 32786, 39399, 39493, 42672, 45642, 45775, 47754, 47847, 48382, 50734, 51251, 51622, 55463]"
